datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 12:42:36,"Microsoft Reclaims Top Spot, Surpassing Apple After iPhone Maker's 23% Drop",Apple's Decline Pushes Microsoft Back to Top as Market Leader,https://finnhub.io/api/news?id=155dbe84899366ceb765523b1b780a4bc44acaefc8878479ca71363dafb221d2,Yahoo,negative,0.8975
2025-04-09 12:35:52,"Apple Shares Fall as Trump Pushes U.S.-Made iPhones, Tariff Pressures Mount","President Trump believes iPhones can be built in the U.S., White House Press Secretary Karoline Leavitt said.",https://finnhub.io/api/news?id=cf04d2b9c560daf1b90ecb4aba863ec917f719d60c0ec260f8757e06baea171f,Yahoo,neutral,0.9596
2025-04-09 12:28:57,Trump economy still has one key believer: Teens,Teens appear to be staying upbeat on the economy despite a sliding stock market and slowing economic growth.,https://finnhub.io/api/news?id=b155e2400d032873f8e91ec3c6c96a9b29284292652dc59bca9c588423074f65,Yahoo,positive,0.8039
2025-04-09 11:54:16,5 Things to Know Before the Stock Market Opens,"News of the day for April 9, 2025",https://finnhub.io/api/news?id=a31baa77af86bea780277bfcebc5b446da2145467e5d86315c2f60a773c9cf3e,Yahoo,positive,0.9332
2025-04-09 11:45:18,PC Shipments Grew Fastest in Four Years to Avoid Tariffs,"(Bloomberg) -- PC shipments grew at their fastest quarterly pace since the pandemic after companies from Apple Inc. to Dell Technologies Inc. hastened product deliveries around the world before tariffs hit.Laptops led the way as the entire spectrum of desktops, workstations and portable computers rose 9.4% to 62.7 million units in the first quarter, according to market tracker Canalys. It was the fastest increase for the industry since the spring of 2021, when Covid restrictions were driving dem",https://finnhub.io/api/news?id=7af326e6dfd75e22dc0bacd4d4599570d12cad9aacedcc5cdbda35a4771617af,Yahoo,negative,0.9024
2025-04-09 11:07:00,Apple Supplier Luxshare to Maintain Vietnam Production Hub to Support U.S. Market,"Luxshare Precision Industry, a key assembler of the iPhone and other Apple products, said it will maintain large-scale production in Vietnam and continue exports from there to the U.S., responding to President Trump’s tariffs.",https://finnhub.io/api/news?id=0606ae282d026366f54c024b572371b57a324055f505312cb365c3b86c5c69bc,Yahoo,negative,0.9328
2025-04-09 10:47:13,Will the Trump tariffs cause gadget prices to rise?,Experts have warned the price of devices including Apple’s iPhone could increase.,https://finnhub.io/api/news?id=3fb960043adb90069f1da42357c79aa8378c0245a44b379ad040afe2bfa14d45,Yahoo,positive,0.7735
2025-04-09 09:59:13,A diminished ‘Magnificent 7’ tests Big Tech’s role in the market: Morning Brief,"The tech giants can be defensive stocks in a trade war not because they are insulated but because they are enormous, cash-rich, and have sprawling businesses.",https://finnhub.io/api/news?id=0dabadbb9516a390770604ac1733650b9e1d8540e5b01e4352701f761274334b,Yahoo,positive,0.8405
2025-04-09 09:32:54,"Trending tickers: Apple, Advanced Micro Devices, Ford, BP and AstraZeneca",The latest investor updates on stocks that are trending on Wednesday.,https://finnhub.io/api/news?id=f174994d7958409ccee096f5e5aaf036aa2689f11dbee534b7e88de9da1c2f76,Yahoo,positive,0.9445
2025-04-09 09:30:00,An American-Made iPhone: Just Expensive or Completely Impossible?,Trump’s tariffs aim to bring manufacturing back to the U.S. So what—besides magic—would it take to make iPhones here?,https://finnhub.io/api/news?id=2a27b59fa13c6ec1713ee43e27899d78aaf7877fc89f9d32a9eabc9c415aa58b,Yahoo,positive,0.8825
2025-04-09 09:21:00,"These Stocks Are Moving the Most Today: Apple, Microsoft, Tesla, Peabody Energy, Nvidia, Cal-Maine, and Delta","Apple stock rises but its slump over the past four sessions pushes the iPhone maker below Microsoft as the world’s most valuable public company, Tesla and Nvidia shares recover, while Peabody Energy and the coal industry get a boost from President Donald Trump.",https://finnhub.io/api/news?id=6b57b74d00a8d358bec5111cd9192bd00f0dceb9718b3d0042b2aacec8b3dc8f,Yahoo,positive,0.8568
2025-04-09 09:00:00,"Apple: You Wanted It Cheaper, Now You Got It",,https://finnhub.io/api/news?id=c448a5c0e0b168cc17d2be0d36f26de879e779a8017600e78d25e7761a4580fe,SeekingAlpha,positive,0.7338
2025-04-09 08:17:01,"Berkshire Hathaway: Buffett Was Right, Again",Berkshire Hathaway's (BRK.A)(BRK.B) large cash position allows it to capitalize on market volatility. Read more to see my recommendation for the stock.,https://finnhub.io/api/news?id=3f6dd2d355e2d9a4cdb103e6bcd1578dac7e711319e1bba4e19861c6fc6c0eac,SeekingAlpha,positive,0.8704
2025-04-09 08:00:00,Client Update February 2025: A New Year,,https://finnhub.io/api/news?id=2add1af658e317edd3d9a3b8b82d84eafd6af57d4ceb89f5e3cea879a3c3492a,SeekingAlpha,positive,0.9117
2025-04-09 06:46:25,Wall Street Breakfast Podcast: Easter Spending To Hop To $23.6B Despite Uncertainty,,https://finnhub.io/api/news?id=25806df4760050d75402b5728b82968a84c21d6d2cb755a9fad8905ebafbf29c,SeekingAlpha,negative,0.937
2025-04-09 06:36:39,"iPhone could triple in price to $3,500 if they’re made in the US",US President Donald Trump has boasted “jobs and factories will come roaring back” as he unleashed unprecedented tariffs around the world during his “Liberation Day” address.,https://finnhub.io/api/news?id=090005a9a2aad65d1a64b38924ffc4f50e4dd6cc33d0487a3dec6d533b1bdda9,Yahoo,negative,0.6796
2025-04-09 05:55:00,ClearBridge Appreciation Strategy Q1 2025 Commentary,The ClearBridge Appreciation Strategy outperformed the benchmark S&P 500 Index in Q1 2025. Click here to read the full letter. ,https://finnhub.io/api/news?id=083f158d4301c89c95f0620eb374801f3c24c5ea5191a271a05948cd419529b0,SeekingAlpha,positive,0.8488
2025-04-09 05:40:00,ClearBridge Global Growth Strategy Q1 2025 Commentary,,https://finnhub.io/api/news?id=7d34102d44b898665644c314af3136e5c6d933ec19214224955ab36b39f01452,SeekingAlpha,positive,0.9224
2025-04-09 05:29:42,Exclusive-Apple supplier Luxshare weighs manufacturing in U.S. to tackle tariffs,"Apple supplier Luxshare is in talks with customers on ways to respond to U.S. tariffs by shifting more production outside China, including the United States, its chairwoman told analysts in a...",https://finnhub.io/api/news?id=a29672c7f6ae69850d405ce957dd20231488a7782a0ddb6e5edea3e834a1f63c,Finnhub,negative,0.8592
2025-04-09 04:01:12,Apple: Beware The Lollapalooza Effect,Apple's revenue and earnings growth have stagnated. Click here to read what would lead to likely underperformance of AAPL stock.,https://finnhub.io/api/news?id=30ce9ca9057b8c72d2e5c4ccc099dca454cfcca8107b4225bdfe0b740eec0734,SeekingAlpha,positive,0.8833
2025-04-09 00:07:26,"Dow Jones Futures Tumble, Yields Surge As Sweeping Trump Tariffs Begin","Dow Jones Futures Tumble, Yields Surge As Sweeping Trump Tariffs Begin",https://finnhub.io/api/news?id=93baf4d890fad89bcb6b2fc0b432d311330142cf9114b3effa81da2fb0569c03,DowJones,neutral,0.9253
2025-04-08 21:44:43,Apple Loses Title of World's Most Valuable Company as China Tariffs Loom,Apple lost its title as the world's most valuable public company on Tuesday after the stock slid the day before steep tariffs on Chinese imports were scheduled to go into effect.,https://finnhub.io/api/news?id=a8a1b999925d3ad5c3f0af1cc8d042d46f1410196a970274260c37a5a7fb260e,Yahoo,neutral,0.8178
2025-04-08 21:32:00,"Cellphones, clothes, TVs, toys: This is all the stuff the U.S. buys from China","Cellphones, clothes, TVs, toys: This is all the stuff the U.S. buys from China",https://finnhub.io/api/news?id=186b64aa9ba25a52cfca60dd0c16ca8776c01763facfdf9b255f9b64ab96e87c,MarketWatch,positive,0.9433
2025-04-08 21:07:15,Video: What Tariffs Will Do to Your iPhone,"President Trump’s tariffs aim to bring manufacturing back to the U.S.—including iPhones. WSJ’s Joanna Stern breaks down exactly how tough it would be to build iPhones here, and how tariffs could affect the price of your next phone.",https://finnhub.io/api/news?id=622a221041039b20908bbdbd0f50e2b022b9056c88180e74d7c2323864be6a36,Yahoo,positive,0.6845
2025-04-08 20:59:01,Apple Cedes Most-Valuable Crown After Tariff Pain Hits Stock Price,How much has President Trump’s tariff plan cost Apple?  It is no longer the world’s most valuable company.  Apple’s shares fell 5% for the day and are now down 23% since last week’s tariff announcement.,https://finnhub.io/api/news?id=48e908180e7595028f18d3f090ae87856365fd600951b762a59fc7a56e536205,Yahoo,neutral,0.8348
2025-04-08 20:39:08,Apple Stock Falls After Getting Two Negative Reports,Apple stock continued its brutal slide on Tuesday. It has lost 23% of its value over the past four trading sessions.,https://finnhub.io/api/news?id=5d379599d57ac28b9541b739874b08f681df2fa5b10452a54ba8ac93c309f695,Yahoo,neutral,0.9595
2025-04-08 20:32:00,"These Stocks Moved the Most Today: Apple, Nvidia, Broadcom, Humana, CVS, Tesla, Super Micro, Marvell, and More","Apple stock rises after a three-day stretch that has seen shares of the iPhone maker tumble 19%, Broadcom announces a new buyback program of $10 billion, and Humana, CVS Health, and UnitedHealth jump as Medicare boosts payment rates.",https://finnhub.io/api/news?id=cb7640f64282c4b3271792b9933ac44de69e0e071461958b8d33d86822ad4780,Yahoo,positive,0.8049
2025-04-08 20:18:25,"Wedbush Cuts Apple, Tesla Targets as Tariff Pressure Mounts","Wedbush cut Apple's price target to $250, citing tariff-related supply chain exposure.",https://finnhub.io/api/news?id=e800655e18e4a3b3202579f6ece8c26cc3158c636e4993c203e6317c33f6071a,Yahoo,neutral,0.9374
2025-04-08 12:21:49,US Stock Futures Soar as Dip Buyers Emerge After Selloff,"(Bloomberg) -- US stocks rallied in premarket trading after a three-day selloff that wiped out more than $5 trillion of value in US equities. Most Read from BloombergThe Irish Hot Press Is the Low-Tech Laundry Trick the World NeedsThis Skinny Mexico City Tower Is Just 14 Feet Wide on One SideHousing Agency Aims to Relocate Its DC HeadquartersBoston Mayor Wu Embraces Trump Resistance as Campaign Heats UpTrump Order on CDFI Fund Risks Aid for Small Businesses, HousingS&P 500 futures gained 2.7% as",https://finnhub.io/api/news?id=a66a1986818f3d5f198e3584c44db07c2283d141c1809a84b27a842f05ca9363,Yahoo,negative,0.7144
2025-04-08 19:54:00,Why We Don’t Have a Made-in-America iPhone,"President Trump’s tariffs aim to bring manufacturing back to the U.S.—including iPhones. WSJ’s Joanna Stern breaks down exactly how tough it would be to build iPhones here, and how tariffs could affect the price of your next phone.",https://finnhub.io/api/news?id=5ce99c516d3dce017bf5bae759d8b3ac4d4a3e8e5dbd2e6d4b27dfdf417fb03c,Yahoo,positive,0.9155
2025-04-08 19:37:01,Apple Exported More Than $17 Billion of iPhones From India Last Year,"Apple exported more than $17 billion of iPhones from India last year, a rapid expansion that is set to help the company offset new tariffs announced by the Trump administration.  India’s smartphone exports jumped by more than 50% in the 12 months that ended in March compared to the previous year, the country’s technology minister said Tuesday.  The Wall Street Journal reported Monday that Apple plans to send more iPhones to the U.S. from India to offset the high cost of China tariffs.",https://finnhub.io/api/news?id=4b18f50ab8b0944f3165c4a7c562fe885b225c45abe4453f21464e6483c64b5e,Yahoo,negative,0.5411
2025-04-08 19:19:11,"Apple's Post-Earnings Slide May Offer Strong Entry Point, Analyst Notes","Bank of America flags Apple's below-25x P/E as a historically bullish signal, maintains Buy with $250 price target",https://finnhub.io/api/news?id=42be9a634a53f1ed0a8187193fca108ed14600e1f1eb51c9b8e5fdeafe40a7ad,Yahoo,negative,0.709
2025-04-08 19:13:58,"Pullback in Apple shares creates buying opportunity, says BofA","Investing.com -- Bank of America said the recent pullback in Apple Inc shares offers an “enhanced buying opportunity,” as the stock’s forward price-to-earnings ratio has dropped below 25x, giving favorable risk/reward at this low level.",https://finnhub.io/api/news?id=89b8754908c855e2a25348c31337986237b2d7f51d935578828617a7f39d33f1,Yahoo,neutral,0.6984
2025-04-08 19:05:34,iPhone Buyers Rush Apple Stores Amid Tariff Fears and Supply Chain Shifts,"Consumers flood Apple stores fearing price hikes, as U.S.--China tariff tensions trigger supply chain rerouting",https://finnhub.io/api/news?id=d9749e8a28a88b9e6bb372deee38cf9e4bf9aa94a0e27dfa6993b23a1b2aeca0,Yahoo,neutral,0.9422
