datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 05:55:00,ClearBridge Appreciation Strategy Q1 2025 Commentary,The ClearBridge Appreciation Strategy outperformed the benchmark S&P 500 Index in Q1 2025. Click here to read the full letter. ,https://finnhub.io/api/news?id=083f158d4301c89c95f0620eb374801f3c24c5ea5191a271a05948cd419529b0,SeekingAlpha,positive,0.8488
2025-04-08 16:32:00,AbbVie Inc. stock underperforms Tuesday when compared to competitors,AbbVie Inc. stock underperforms Tuesday when compared to competitors,https://finnhub.io/api/news?id=d0ad55b000473e66d3d4edccf2b3641af1e487eb26107fe56d81b97c3ecd5a0d,MarketWatch,neutral,0.9384
2025-04-08 13:15:00,AbbVie's Rinvoq Gets EU Nod for 8th Indication Giant Cell Arteritis,"European Commission approves ABBV's Rinvoq for its eighth indication, giant cell arteritis.",https://finnhub.io/api/news?id=3770741deb59d49197223c629edb50225ba3a0352071fea69192947755159d36,Yahoo,negative,0.8292
2025-04-08 13:08:17,"Goldman turns cautious on major pharma names, sees select upside at Eli Lilly","Investing.com -- Goldman Sachs initiated coverage on several large-cap pharmaceutical companies, taking a cautious stance on Bristol-Myers Squibb (NYSE:BMY), Pfizer (NYSE:PFE), and AbbVie (NYSE:ABBV), while upgrading Eli Lilly (NYSE:LLY) to a Buy on strong growth prospects in obesity treatments.",https://finnhub.io/api/news?id=79226bcb7596285f28ccfc803c594c16b98e3dc7715b9d1f3c7d0d9b11ba1be3,Yahoo,neutral,0.8021
2025-04-08 10:20:08,Should Schwab U.S. Dividend Equity ETF (SCHD) Be on Your Investing Radar?,Style Box ETF report for SCHD,https://finnhub.io/api/news?id=8bf3f5944bba48d3c6db5b4235bc8357499eb7b8e486ef0dc4e86075b067c9e4,Yahoo,positive,0.9023
2025-04-08 06:08:00,AbbVie Gets Expanded Europe OK for Rinvoq in Giant Cell Arteritis,AbbVie Gets Expanded Europe OK for Rinvoq in Giant Cell Arteritis,https://finnhub.io/api/news?id=74cefe3aad51be371aa2e382d213e4e8695b852ab7d958530f7172efea4abc13,MarketWatch,negative,0.8321
2025-04-08 06:00:00,AbbVie Announces European Commission Approval of RINVOQ® (upadacitinib) for the Treatment of Adults with Giant Cell Arteritis,"AbbVie (NYSE: ABBV) today announced that the European Commission (EC) granted marketing authorization to RINVOQ® (upadacitinib; 15 mg, once daily) for the treatment of giant cell arteritis (GCA) in adult patients. RINVOQ is the first and only oral JAK inhibitor approved in the EU, as well as Iceland, Liechtenstein and Norway, for the treatment of adult patients with GCA.",https://finnhub.io/api/news?id=9c88839c4b6bedf435fa253c4af156d5898e18ce42ee473ccf46b776df797f5f,Yahoo,negative,0.8739
2025-04-07 17:31:57,AbbVie (NYSE:ABBV) Showcases Cancer Treatment Advancements at AACR Annual Meeting,"AbbVie (NYSE:ABBV) has been actively advancing its oncology portfolio with recent presentations at the AACR Annual Meeting, showcasing developments like ABBV-969 and ABBV-514, both highlighting innovation in cancer treatment. This aligns with AbbVie's upward price move of 4% over the last quarter, despite wider market volatility from tariff uncertainties that saw the Dow Jones drop over 900 points on certain days. As other sectors of the market faced declines, AbbVie's focus on new product...",https://finnhub.io/api/news?id=34d8f8572427b19d8bdc084fb1dea3b92d169294d7dbb66afa7a7fde3bbf28c6,Yahoo,positive,0.6093
2025-04-07 09:08:40,Syndax Pharmaceuticals: Down But Not Out,Syndax has a strong cash position and a significant market opportunity with Revuforj and Niktimvo. Check out my recommendation for SNDX.,https://finnhub.io/api/news?id=5e2e984882f8d5189cb1b46cec2720a49ca9e3e2cac1350b0e16fff99144f9f8,SeekingAlpha,neutral,0.8918
2025-04-06 10:44:00,3 Dividend Stocks to Buy and Hold for the Next Decade,"What should investors do when stocks are tanking over the short term?  Three Motley Fool contributors think they've found great dividend stocks to own for the long term that pay you to wait for better days.  Here's why they picked AbbVie (NYSE: ABBV), Amgen (NASDAQ: AMGN), and Eli Lilly (NYSE: LLY).",https://finnhub.io/api/news?id=270f124883da0590a10adac527c11e2602c44684abe3ad8ccc97c2f6119c14e3,Yahoo,positive,0.9421
2025-04-05 16:10:32,"China announces retaliatory tariffs, U.S. unemployment rises: Morning Buzz","The major averages were sharply lower again near noon, continuing yesterday’s post-tariff slide. China has retaliated with additional tariffs of 34% on all U.S. goods a day after the Trump administration imposed its own sweeping levies. Meanwhile, the latest U.S. jobs data show that nonfarm payrolls rose by a higher-than-forecast 228,000 jobs, though the unemployment rate has ticked higher. Looking to commodities, oil prices are sharply lower due to a planned output increase promised by OPEC+ as",https://finnhub.io/api/news?id=a2e7a3122d0b40acc055f6c6bf6fcfb37ef2d8cb5e07dc6e72f261bfb3756492,Yahoo,neutral,0.7826
2025-04-05 12:30:00,2 Dividend Stocks to Buy Hand Over Fist in April,"This stands to reason, as nearly every stage of drug development and marketing is resource- and capital-intensive, and as a result, cash can be in short supply.  Let's take a look at two outliers with dividend policies that have looked especially attractive lately -- pharmaceutical companies Amgen (NASDAQ: AMGN) and AbbVie (NYSE: ABBV).  Amgen's involvement in the high-demand obesity drugs race has attracted attention recently, but the pharmaceutical sector star has been on the radar of clever investors for years.",https://finnhub.io/api/news?id=47fa695a11178c36c8983cee635d9ce915c658ed10229424a26a0498827c68e4,Yahoo,positive,0.8873
2025-04-05 04:00:02,"From Ray-Bans to Wigs, US Buyers May See Unexpected Price Hikes","(Bloomberg) -- Most Read from BloombergHousing Agency Aims to Relocate Its DC HeadquartersLocal Governments Vie for Fired Federal WorkersMetro-North Is Faster Than Acela on NYC-New Haven Route After Signal UpdatesWhat Would ‘Transportation Abundance’ Look Like?Hochul Says Trump’s Tariffs Are Already Hurting New York EconomyWhen US President Donald Trump slapped bigger-than-expected tariffs on imports from around the world, Americans lamented pending prices hikes for Champagne, Parmesan and Ferra",https://finnhub.io/api/news?id=8601cf7a01115ffeb83b9810a53ee9c143b156370c4bd01588e1a4c832ad8010,Yahoo,negative,0.9167
2025-04-03 21:45:15,AbbVie (ABBV) Stock Moves -1.73%: What You Should Know,"In the closing of the recent trading day, AbbVie (ABBV) stood at $201.64, denoting a -1.73% change from the preceding trading day.",https://finnhub.io/api/news?id=7d7485b7169bd80c41431d7db6a98b45f34e94b370d9b9754db4e1f2f7c6b44b,Yahoo,positive,0.9113
2025-04-03 20:34:48,AbbVie cuts 2025 profit forecast on acquisition expenses,"AbbVie on Thursday cut its 2025 adjusted profit forecast as the drugmaker expects to incur $248 million in acquisition expenses related to milestone payments as well as research and development costs. The company has been focusing on expanding its pipeline since its blockbuster arthritis drug, Humira, lost patent protection in 2023. To that end, the company bought neuroscience drug developer Cerevel Therapeutics, cancer drug developer ImmunoGen and Alzheimer's therapy developer Aliada in 2024 through deals worth over $20 billion in total.",https://finnhub.io/api/news?id=5aec81b9c68b8753c08f0570ef323a33fa24f2997bd1c6bf6390efb6c611d011,Yahoo,neutral,0.9124
2025-04-03 18:43:00,"Potatoes, discount chains and drugmakers offer havens in stock-market bloodbath","Potatoes, discount chains and drugmakers offer havens in stock-market bloodbath",https://finnhub.io/api/news?id=f57ab0882a5b1d37612cb12eb44e395004096d9025d533fa7641bd6e86d9b6ca,MarketWatch,neutral,0.8124
2025-04-03 16:26:51,Biotech Stocks Take A Tariffs Hit. Pharmaceuticals Are Exempt — For Now.,Biotech Stocks Take A Tariffs Hit. Pharmaceuticals Are Exempt — For Now.,https://finnhub.io/api/news?id=9201434bddd814d56ee9eeb219358f350bdede42fd82155c651e1734a1f6d4b9,DowJones,neutral,0.5605
2025-04-03 13:00:00,3 High-Yielding Dividend Stocks That Retirees Can Buy and Forget About,"""Buy and hold"" is a simple strategy for investors, but it can be a hard one to stick to in actual practice.  Not every long-term investment will turn out that way, but investing a modest amount of money in growth stocks and letting it sit can be your best financial move.  Retirees on the lookout for some reliable dividend stocks can find plenty of attractive buying opportunities in the markets today.",https://finnhub.io/api/news?id=621bf6894c00c3adc0c8be3f11f1436d2e72ba14b91dd387f0a18122277e324c,Yahoo,positive,0.9059
