datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 05:55:00,ClearBridge Appreciation Strategy Q1 2025 Commentary,The ClearBridge Appreciation Strategy outperformed the benchmark S&P 500 Index in Q1 2025. Click here to read the full letter. ,https://finnhub.io/api/news?id=083f158d4301c89c95f0620eb374801f3c24c5ea5191a271a05948cd419529b0,SeekingAlpha,positive,0.8488
2025-04-09 05:40:00,ClearBridge Global Growth Strategy Q1 2025 Commentary,,https://finnhub.io/api/news?id=7d34102d44b898665644c314af3136e5c6d933ec19214224955ab36b39f01452,SeekingAlpha,positive,0.9224
2025-04-08 18:52:43,Is Adobe Inc. (ADBE) the Best Stock to Buy According to Billionaire Steve Cohen?,"We recently published a list of 10 Best Stocks to Buy According to Billionaire Steve Cohen. In this article, we are going to take a look at where Adobe Inc. (NASDAQ:ADBE) stands against other best stocks to buy according to billionaire Steve Cohen. Steve Cohen, a prominent figure in the world of hedge funds, is […]",https://finnhub.io/api/news?id=db1f55219feaff5a11482d680a51ef6ff3d2e5ff8c99c2a0e2a1699413fda7fe,Yahoo,positive,0.901
2025-04-08 13:00:13,Adobe Inc. (ADBE) is Attracting Investor Attention: Here is What You Should Know,"Recently, Zacks.com users have been paying close attention to Adobe (ADBE). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=85cb71e97d8b8960165642703272968ff98b41458004d8dcc0261f726b9fb570,Yahoo,positive,0.9212
2025-04-07 12:04:06,Is Adobe Inc. (ADBE) the Best High-Risk Stock to Buy According to Billionaires?,"We recently published a list of 10 Best High-Risk Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Adobe Inc. (NASDAQ:ADBE) stands against other best high-risk stocks to buy according to billionaires. Investors often retreat into safer assets during volatility when the global markets move towards […]",https://finnhub.io/api/news?id=f12bdcd6194dce60b27313d223bf4b627ce97cc5ffb18a5a3b5b4af6121851bf,Yahoo,positive,0.8993
2025-04-06 13:35:48,AI Stocks Face 'Show Me' Moment. Next Phase In AI Model Battle Underway.,"Amid hype over artificial intelligence, the best AI stocks generate revenue or get a strategic edge from the fast evolving technology.",https://finnhub.io/api/news?id=774fed91ef5d2d4c04e2635846005a4a39a6263f973f62e1ef8a1956f9e905d6,Yahoo,positive,0.6817
2025-04-06 11:00:10,Is Adobe Inc. (NASDAQ:ADBE) Trading At A 44% Discount?,Key Insights The projected fair value for Adobe is US$620 based on 2 Stage Free Cash Flow to Equity Adobe is estimated...,https://finnhub.io/api/news?id=102d6c935e71288323631f95099edacc331a3521259db17903e33de863f981c7,Yahoo,positive,0.9191
2025-04-06 10:30:05,Could software act as a surprise safe haven in the tariff wars?,"Investing.com -- The latest wave of U.S. tariffs rattled markets, hitting software stocks with declines ranging from low single digits to more than 10% in smaller-cap names. But according to Bernstein, the reaction may be more panic than substance.",https://finnhub.io/api/news?id=d672ba4565c791719b94780bedecca7ca9c81e209fce7c8fd0813d790e610740,Yahoo,positive,0.7573
2025-04-05 08:20:00,Billionaire David Tepper Just Sold Out of Adobe and Bought This Artificial Intelligence Value Stock Instead,"One of the best investors of the past 30 years has been David Tepper of Appaloosa Management.  Between 1993 and 2013, Tepper averaged a whopping 40% annualized return, while more recent estimates put Appaloosa at a low- to mid-20% annualized return through today.  In the fourth quarter, Tepper sold completely out of one artificial intelligence (AI) stock and bought another dividend-paying AI player.",https://finnhub.io/api/news?id=ab68e17facb7fc6cb9290fe10c87ee55df53e0fd7692360ae3ca81cf8d6204b5,Yahoo,positive,0.9326
2025-04-04 22:13:46,"Jim Cramer on Adobe (ADBE): “Firefly’s a Lamborghini, But AI Competition Is Brutal!”","We recently published a list of Jim Cramer’s Thoughts on Liberation Day, Tariffs, and 17 Stocks to Watch Right Now. In this article, we are going to take a look at where Adobe Inc. (NASDAQ:ADBE) stands against other stocks that Jim Cramer discusses. On Tuesday, April 1st, the host of Mad Money opened the show […]",https://finnhub.io/api/news?id=9a09235af4bb95c44151a09717072f0d919babf04c4d2006d6e9f8af10370a34,Yahoo,positive,0.7785
2025-04-04 20:15:26,"Microsoft Turns 50, Unveils Powerful AI Upgrades for Copilot","Microsoft marked its 50th anniversary by unveiling major Copilot AI updates, including new developer tools and user features",https://finnhub.io/api/news?id=9cb7ae5f5a86632f9251e3546bc4466e1b3f673565b445d737e71a6298f25241,Yahoo,negative,0.5972
2025-04-04 16:34:00,Adobe Inc. stock outperforms competitors despite losses on the day,Adobe Inc. stock outperforms competitors despite losses on the day,https://finnhub.io/api/news?id=ed9609a34a24954693ed2e5f11145c54693210071e8e1d324b2b0561359f17e8,MarketWatch,negative,0.9442
2025-04-04 12:45:41,Don't Miss The Ongoing Sector Rotation,Learn how to navigate market volatility as sector rotation shifts focus to defensive assets. Click here for more information on Market Outlook.,https://finnhub.io/api/news?id=79f9c4fc581de6e423d99fbd0a3c671171b014f0438f10a482fd5183ef690f03,SeekingAlpha,positive,0.9142
2025-04-04 12:42:55,Wall Street hunts for cheap tariff-proof stocks after the carnage,The hunt for cheap stocks begins.,https://finnhub.io/api/news?id=3a17b1081af4b1f5846cd0d7534d7ab2df016610d084abe68d66b6e9c4b31b00,Yahoo,positive,0.4848
