datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 05:40:00,ClearBridge Global Growth Strategy Q1 2025 Commentary,,https://finnhub.io/api/news?id=7d34102d44b898665644c314af3136e5c6d933ec19214224955ab36b39f01452,SeekingAlpha,positive,0.9224
2025-04-08 20:32:00,"These Stocks Moved the Most Today: Apple, Nvidia, Broadcom, Humana, CVS, Tesla, Super Micro, Marvell, and More","Apple stock rises after a three-day stretch that has seen shares of the iPhone maker tumble 19%, Broadcom announces a new buyback program of $10 billion, and Humana, CVS Health, and UnitedHealth jump as Medicare boosts payment rates.",https://finnhub.io/api/news?id=cb7640f64282c4b3271792b9933ac44de69e0e071461958b8d33d86822ad4780,Yahoo,positive,0.8049
2025-04-08 20:23:17,Broadcom Stock Gets Boost From Share Buyback Plan,Broadcom stock rose after the fabless chipmaker and infrastructure software provider announced a $10 billion share repurchase authorization.,https://finnhub.io/api/news?id=afcd79ed7ecb8b04866d7ec9828cfad08220ec3b8fdd73f35db689ff838e0edf,Yahoo,negative,0.9379
2025-04-08 19:00:00,ALAB Slides 47% Since Q4 Results: A Risky Bet Amid Chip Stock Slump?,"Astera Labs' lower-than-expected gross margin can be attributed to a shift in product mix toward hardware-based solutions, which impacted investors' sentiment.",https://finnhub.io/api/news?id=5c0fb7c81320b8e18a457b787cf46253c4bd41d117eb3416054bd8f60a8aadc6,Yahoo,neutral,0.9418
2025-04-08 19:00:00,Broadcom Unveils $10 Billion Stock Buyback: Buy AVGO Stock Now?,Broadcom's latest share repurchase plan is expected to please income-oriented investors. Is it the right time to buy the AVGO stock?,https://finnhub.io/api/news?id=75e33a979abe50072a018d586dbced7e88ed1a7a171df2cbb807a955304438b1,Yahoo,positive,0.9364
2025-04-08 16:54:23,"Broadcom (AVGO) Chart Analyzed, Options Trade Proposed in Wake of Today’s Rally","After Broadcom (AVGO) announced a new $10 billion share repurchase program late yesterday, sparking a rally by the name today, Schwab Network analyzed the stock’s chart and proposed a bullish options trade involving it. A Look at AVGO’s Chart “Broadcom is holding up better than the broader market this year and outperforming its sector,” said […]",https://finnhub.io/api/news?id=9f8446a60874d6f88623ddfc308422f6e2889ef3177ef8a6c714a989d1d59827,Yahoo,positive,0.9084
2025-04-08 15:40:00,"Stressful Markets, But Lots Of Opportunities In Tech","Sara Awad from Tech Stock Pros returns to discuss market uncertainty, volatility, and the tech sector.",https://finnhub.io/api/news?id=512f0fac91cd57e8758eade6442e956f95339d69b018c44cf8cc32d1716c9105,SeekingAlpha,negative,0.5823
2025-04-08 15:17:45,"Walgreens, Broadcom, CVS: Market Minute","As part of today's Market Minute, Madison Mills takes a look at some of the top stories on Wall Street. Walgreens (WBA) quarterly earnings came in better than expected. Sycamore Partners is set to take the company private later this year. Broadcom (AVGO) stock gains after the chipmaker announced a $10 billion share buyback program. CVS (CVS) stock pops after the company named a new CFO, saying it will meet or exceed its current full-year guidance. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.",https://finnhub.io/api/news?id=e7dc7347c927e7fd0f78cfa8f9da06e74150d8ed148a8c7f0c40e024409c9ca0,Yahoo,positive,0.9314
2025-04-08 14:49:00,3 Reliable Dividend Growth Stocks to Escape Market Turmoil,"Dvidend growth stocks like TPR, GIL and AVGO are a major source of consistent income for investors when returns from the equity market are at risk.",https://finnhub.io/api/news?id=bc6452f94df7ebbc42e220f50e2fe0cb7280443453fcad52b6d5334a687957b0,Yahoo,positive,0.6421
2025-04-08 14:38:00,Broadcom Stock Rises on Buyback Plan. Why Other Companies Could Follow.,Broadcom announced a stock buyback program of up to $10 billion. Its shares are down by more than a third since the start of the year.,https://finnhub.io/api/news?id=e2776821b62a70ef4aa519a7d0aa0de2b17f1b2b1f11b6e5a597b3d45db733bc,Yahoo,positive,0.8622
2025-04-08 13:54:03,"Nvidia leads Mag 7, Broadcom's share buyback: Trending Tickers","Madison Mills and Brad Smith take a closer look at some of today's trending tickers ahead of the opening bell. Nvidia (NVDA) stock extends gains, leading the ""Magnificent Seven"" group higher. The chipmaker stock was the top performer of the Dow Jones Industrial Average (^DJI) on Monday. Broadcom (AVGO) stock rallies after the company authorized $10 billion in share buybacks, reiterating confidence in the semiconductor industry. To watch more expert insights and analysis on the latest market action, check out more Morning Brief here.",https://finnhub.io/api/news?id=7ebf2a1e9d05a626cbf91a3cef7bc50486329c0bd96dd131634563e0a05ef0e9,Yahoo,positive,0.8503
2025-04-08 11:37:55,"Stocks rally on tariff hopes, China vows to fight: 3 things you need to know","It could be Turnaround Tuesday for stocks after a bruising three-day stretch. Futures on the Dow Jones Industrial Average are jumping, as traders focus on the Trump administration reportedly beginning trade discussions with Japan. The S&P 500 and Nasdaq Composite are also set to open higher. President Trump's broad tariffs are set to kick in tomorrow, with many now seeing them as a negotiating tactic. China, however, vowed today to quote “fight to the end” on the tariff front.Here is what you need to know about the markets today:Levi’s puts investors through the spin cycle: Shares of  the jeans maker surged 10% in early trading following better than expected quarterly earnings. The company maintained its full year profit outlook. Walmart is in focus: While Wall Street tries to estimate what tariffs could mean for companies, veteran retail analyst Greg Melich of EvercoreISI is estimating a worst-case scenario of tariffs on Walmart. Melich said, ""If 50% incremental [tariffs] on China and 20% rest of the world [tariffs] are maintained, AND no carrots of tax cuts or deregulation are implemented, we estimate the EPS pressure for Walmart of 2% could grow 3x higher."" BrIIt could be the year of lost profits for companies due to tariffs: The bottom up consensus earnings per share expectation for the S&P 500 assumes 9.6% growth. Some of the biggest EPS gains are seen in tech darlings Nvidia, Broadcom, Netflix and Microsoft. But long-time strategist Adam Parker at Trivariate Research says investors no longer believe those numbers. Parker thinks the tariffs are such a headwind, investors may see NO earnings growth for the S&P 500.",https://finnhub.io/api/news?id=e6196157acc960d927cd1bde00d78e182662c4dcd05fb34ac826409d5aa99899,Yahoo,positive,0.8573
2025-04-08 11:16:12,"Stock Futures Rebound Pre-Bell Following Tariff-Driven Sell-Off; Levi Strauss, Broadcom Rise",US equity futures were pointing higher before the opening bell Tuesday as markets attempted to recov,https://finnhub.io/api/news?id=11f619832b136979ce09247dadc37f5ead46dd9263675ae58487c5535b2b3892,Yahoo,negative,0.5866
2025-04-08 11:07:00,21 stocks that Wall Street analysts now think are bargains in this year’s worst-performing sector,21 stocks that Wall Street analysts now think are bargains in this year’s worst-performing sector,https://finnhub.io/api/news?id=3708c56ab9850f8db2b5c9b07419c2d6caf8c0113b9658acaf48adabb0069462,MarketWatch,neutral,0.9283
2025-04-08 07:58:00,Advanced Micro Devices Stock Gets a Downgrade. Nvidia and Intel Are Part of the Problem.,Advanced Micro Devices Stock Gets a Downgrade. Nvidia and Intel Are Part of the Problem.,https://finnhub.io/api/news?id=ecfaa2cf48ae9095dde6e32e1a1f3270251a56ff7bddb3df2839a45d8cd00491,MarketWatch,neutral,0.9639
2025-04-08 09:48:09,"Trending tickers: Tesla, US Steel, Broadcom, Levi's and Porsche",The latest investor updates on stocks that are trending on Tuesday.,https://finnhub.io/api/news?id=a72ea2e28cf7bc2536fd7f531b8c70e89a161a2d5d34c46d9175ff309be30b63,Yahoo,positive,0.9505
2025-04-08 09:05:00,"Nasdaq Sell-Off: 2 Solid Artificial Intelligence (AI) Stocks to Buy Hand Over Fist Before They Soar 70% to 85%, According to Wall Street","Technology stocks have taken a big beating in recent months as the Trump administration's policies have led investors to press the panic button amid concerns that the tariff-fueled global trade war could hurt the U.S. economy and may even send it into a recession.  Investors have become risk-averse, which explains why high-flying tech stocks that were benefiting big time from the rapid adoption of cloud computing and artificial intelligence (AI) have pulled back substantially.  The tech-heavy Nasdaq Composite index, which hit its most recent high on Dec. 16 last year, has shed nearly 23% of its value since then and now trades in bear territory.",https://finnhub.io/api/news?id=02ea45fd42ae10d937caf2e8f286c121d4a0665ceff606470ec6c97999843427,Yahoo,negative,0.7422
2025-04-08 07:41:00,ClearBridge Large Cap Value Portfolios Q4 2024 Commentary,Our quality bias in materials and utilities stood out the most in a quarter that saw a reversal of some of 2024âs themes. Read more here.,https://finnhub.io/api/news?id=4f2adf8bf1b4739c1a3d0a59b7f4ad911a6b3809bcf330ec783db294cea05e31,SeekingAlpha,positive,0.9387
