datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 05:40:00,ClearBridge Global Growth Strategy Q1 2025 Commentary,,https://finnhub.io/api/news?id=7d34102d44b898665644c314af3136e5c6d933ec19214224955ab36b39f01452,SeekingAlpha,positive,0.9224
2025-04-08 23:21:09,"Costco had 'productive' talks on Republican push to end diversity policies, Iowa AG says","Costco has had productive discussions with Iowa Attorney General Brenna Bird over the retailer's diversity policies amid a legal onslaught against those programs launched by President Donald Trump, according to Bird's office and another person familiar with the talks.  Bird and 18 other GOP state attorneys general urged Costco Chief Executive Ron Vachris in a letter in January to end what they described as ""unlawful discrimination ... through diversity, equity and inclusion (""DEI"") policies"".",https://finnhub.io/api/news?id=e792717a3b6f5a4c8c8cb75c5bacfdce607bba69700128c5adeaad922961cf50,Yahoo,negative,0.8744
2025-04-08 22:16:01,Costco Wholesale Corporation (COST): Among Defensive Stocks Billionaire Ken Fisher is Betting On,"We recently published a list of 10 Defensive Stocks Billionaire Ken Fisher is Betting On. In this article, we are going to take a look at where Costco Wholesale Corporation (NASDAQ:COST) stands against other defensive stocks billionaire Ken Fisher is betting on. Ken Fisher, an American billionaire investor, author, and financial analyst, founded and runs Fisher Asset […]",https://finnhub.io/api/news?id=3f88b893085a4228851fad3f1e3302aaff9226cf0f66d4d7935bc5fcd0d7e359,Yahoo,positive,0.9198
2025-04-08 16:33:00,All of Retail Wants a Tariff Playbook. Walmart Could Deliver.,Investors and other retailers will be looking for clues on how to navigate the new tariff environment.,https://finnhub.io/api/news?id=41d6aa5c3e8a424f84ad62744c4e0e639354cad326dcc512f39adc11da221384,Yahoo,positive,0.7653
2025-04-08 14:23:23,Is Costco Wholesale Corporation (COST) the Best Fundamental Stock to Buy According to Billionaires?,"We recently published a list of 10 Best Fundamental Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Costco Wholesale Corporation (NASDAQ:COST) stands against other best fundamental stocks to buy according to billionaires. As per Fitch Ratings, the US tariffs are now at levels that continue […]",https://finnhub.io/api/news?id=47a5404e4f0bfe3bee281f68ddf2416c2df27a1f8bd16de3ffea2b98382ba37d,Yahoo,positive,0.9044
2025-04-08 12:00:16,"Posthaste: Americans are scrambling to stock up at Costco, Best Buy before tariffs jack up prices","From Chinese electronics to Canadian yoga wear, shoppers are buying now to avoid paying more later",https://finnhub.io/api/news?id=476ab66c5bd79ffb9eb06c7566541c05cf2e4ad2d21d3bcd6057b7c303673559,Yahoo,positive,0.8317
2025-04-08 10:57:00,Here’s the Right Way to Buy Gold in Your Retirement Account,Here’s the Right Way to Buy Gold in Your Retirement Account,https://finnhub.io/api/news?id=3e2e8deebb325dc3a4dce5de4b370645a4728565e70193ce6e53938c3b233525,MarketWatch,positive,0.9171
2025-04-08 07:15:00,Recession-Proofing Your Portfolio,,https://finnhub.io/api/news?id=2ab752356c3f58c4231fd378b6a8bad0c06f7634cd29b3b9df9021a06d80764f,SeekingAlpha,positive,0.8396
2025-04-07 21:45:14,Costco (COST) Registers a Bigger Fall Than the Market: Important Facts to Note,"In the closing of the recent trading day, Costco (COST) stood at $908.13, denoting a -0.91% change from the preceding trading day.",https://finnhub.io/api/news?id=4c32e81e1af46766ba2ab4d960001066ddfd482ec1627164b90b49f829240eb7,Yahoo,positive,0.7647
2025-04-07 18:30:00,Trump tariffs: Which retailers will be most resilient,"The White House denied reports on Monday of an alleged 90-day pause on reciprocal tariffs, which are still set to take effect Wednesday, April 9. Wedbush Securities managing director of equity research for retail hardlines Seth Basham joins Catalysts to discuss how retailers will absorb tariff-fueled price increases, noting that most retailers will be forced to pass on some of the cost to their consumers. Basham notes that retailers with more pricing power, such as auto parts retailers and mass merchants that sell consumer staples, will be more equipped to withstand the impact of these tariffs. To watch more expert insights and analysis on the latest market action, check out more Catalysts here.",https://finnhub.io/api/news?id=207c6f5d2f1cd0b1fcb0bb1f37605ae315a8523b515e7eb3d495cdab9799ba6d,Yahoo,positive,0.8144
