datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 12:04:27,Goldman Sachs Upgrades Johnson & Johnson (JNJ),,https://finnhub.io/api/news?id=7117b90dd0fb3487881bf2948e28a1e142f83e8b8542dc4f1e32cc1f901d011a,Fintel,positive,0.9374
2025-04-09 07:00:00,ClearBridge Value Strategy Q1 2025 Commentary,,https://finnhub.io/api/news?id=35535e3cea80b09456684a0cb073c03b1717d2f8f368e5df3aa2bd24396ed4a2,SeekingAlpha,positive,0.9235
2025-04-08 22:14:16,Johnson & Johnson (JNJ): Among Defensive Stocks Billionaire Ken Fisher is Betting On,"We recently published a list of 10 Defensive Stocks Billionaire Ken Fisher is Betting On. In this article, we are going to take a look at where Johnson & Johnson (NYSE:JNJ) stands against other defensive stocks billionaire Ken Fisher is betting on. Ken Fisher, an American billionaire investor, author, and financial analyst, founded and runs Fisher Asset […]",https://finnhub.io/api/news?id=5a61632c3ef9b67852b1a7711606d09ff729b9975cd6925cae98ba75b3994261,Yahoo,positive,0.8973
2025-04-08 21:45:16,Johnson & Johnson (JNJ) Stock Moves -0.52%: What You Should Know,"In the latest trading session, Johnson & Johnson (JNJ) closed at $149.83, marking a -0.52% move from the previous day.",https://finnhub.io/api/news?id=ad787759b84fc77476cdb04c6f417ab65449c9324249c4dd3831a4c7926d9e61,Yahoo,positive,0.8668
2025-04-08 18:26:32,Johnson & Johnson's New 'Compelling Data' Shows Sustained Symptom Improvement In Muscular Disease Patients,"Johnson & Johnson (NYSE:JNJ) on Tuesday announced results from additional analyses of the Phase 3 Vivacity-MG3 study and the ongoing open-label extension (OLE), evaluating the long-term efficacy and safety of nipocalimab in a broad population of antibody-positive adults with generalized myasthenia gravis (gMG). Patients treated with nipocalimab plus standard of care (SOC) maintained improvements in their MG-ADL (activities of daily living) and QMG (quantifies disease severity) scores over 84 wee",https://finnhub.io/api/news?id=fdbcc6609708525d9145c5fa5b1c4c4d25fed64fa05f630967f397baf5264263,Yahoo,negative,0.9558
2025-04-08 17:58:13,"Biopharma Shakeup: Goldman Boosts J&J, Eli Lilly While Flagging Risks at Pfizer and AbbVie","Goldman updates coverage across major U.S. drugmakers, citing exclusivity risks, pricing power, and pipeline outlooks",https://finnhub.io/api/news?id=bc94276900cad2ebcc0b80e6d2292450595274f18897df2b28b0da16be1a544f,Yahoo,negative,0.7767
2025-04-08 17:44:40,"AAN 2025: J&J reveals data for nipocalimab, showing long-term disease control in MG","J&J exhibited additional findings from the Vivacity-MG3 study, displaying that nipocalimab met its key secondary endpoint.",https://finnhub.io/api/news?id=89f3d9fbbafc9265334924a2ea74638362c0539828fd0a90d48d44101500ac5c,Yahoo,negative,0.5099
2025-04-08 14:03:18,"Walgreens, CVS, & US drugmakers make big moves: What to know","Walgreens (WBA) stock is rising after the company reported better-than-expected second quarter earnings while preparing for privatization. Yahoo Finance Senior Health Reporter Anjalee Khemlani highlights the company's cost management strategy, CVS's (CVS) leadership changes amid similar challenges in the retail drug sector, and moves by US drug makers, like Merck (MRK), Johnson & Johnson (JNJ), and Eli Lilly (LLY), as they prepare for incoming tariffs. To watch more expert insights and analysis on the latest market action, check out more Morning Brief here.",https://finnhub.io/api/news?id=4802859d758f4365de19e8df750d7be4ad395ac3a31a609b767e157d6ab882c0,Yahoo,positive,0.9256
2025-04-08 14:00:09,Johnson & Johnson (JNJ) Expected to Beat Earnings Estimates: Can the Stock Move Higher?,Johnson & Johnson (JNJ) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=6eeb98fe7b73854d0c1bd50c3826ea6f109706e5d53c42bb3f0e4d4d25279b55,Yahoo,negative,0.9356
2025-04-08 09:57:30,J&J starts IVL trial in ‘difficult-to-cross’ coronary arteries,"The device is differentiated from other Shockwave products, and rival catheters from Abbott and Boston Scientific, because it emits waves from its tip.",https://finnhub.io/api/news?id=dd2af907c5b79bd4f6a2faa7a67cdefa64ad35ff39af45cb97de991d2fcc5a2e,Yahoo,positive,0.6381
2025-04-08 09:30:34,Johnson & Johnson Says New Data Support Nipocalimab's Long-Term Disease Control in Myasthenia Gravis,Johnson & Johnson (JNJ) said Tuesday that the latest results from a trial of the investigational nip,https://finnhub.io/api/news?id=064b6b6b5d577c038bec940bbbd00b717b39c41c62018cff574c62346615c3ed,Yahoo,negative,0.9529
2025-04-08 08:50:23,EC approves extension of indication for Janssen-Cilag’s Darzalex,The approval follows October 2024's indication extension for daratumumab-VRd for newly diagnosed patients eligible for ASCT.,https://finnhub.io/api/news?id=b014ff7ef8a01915d7a7813fc02432739b08bf685536455d3f9e0ab070049f64,Yahoo,negative,0.7423
2025-04-08 07:00:00,"Johnson & Johnson highlights new data that showcase the strength of nipocalimab, demonstrating long-term sustained disease control in adults living with generalized myasthenia gravis (gMG)","Johnson & Johnson (NYSE: JNJ) today announced results from additional analyses of the Phase 3 Vivacity-MG3 double-blind study and the ongoing open-label extensiona (OLE), evaluating the long-term efficacy and safety of investigational nipocalimab in a broad population of antibody-positive (anti-AChR+, anti-MuSK+, anti-LRP4+) adults with generalized myasthenia gravis (gMG).1,2 Patients treated with nipocalimab plus standard of care (SOC) maintained improvements in their MG-ADLc and QMGb scores ov",https://finnhub.io/api/news?id=7ea48e0f7766e6ae7c1e15376a5b5bae1d67b9ac019b0586de7f8e6daf6eb7cf,Yahoo,negative,0.8883
