datetime,headline,summary,url,source,sentiment,confidence,date,score,source_weight,weighted_score
2025-04-16 08:15:00,Can Coca-Cola Stock Help Keep Your Money Safe During a Market Crash?,"The stock market is in turmoil right now, and entering this week, the S&P 500 has declined by around 9% since the start of the year.  How can you keep your savings safe and still be invested in the stock market -- or is that even possible nowadays?  One blue chip stock you may be considering is Coca-Cola (NYSE: KO).",https://finnhub.io/api/news?id=fd12979f73ddc12f0a47fe4bf7ba780b341774a046c528cec2c64cd619face44,Yahoo,positive,0.8239,2025-04-16,1,1.0,1.0
2025-04-16 06:58:05,XLP: The Winner Of The Market Rotation,The market is experiencing a sector rotation from consumer discretionary to consumer staples stocks. See why I'm bullish on XLP ETF.,https://finnhub.io/api/news?id=ebb1a4d5e3f9457a4a13d639660b7ebe1fd24dc9d7304921b9d4b7c359dc489f,SeekingAlpha,positive,0.8625,2025-04-16,1,1.2,1.2
2025-04-16 03:20:07,Research Highlights Italians' Strong Support for Olympic Values Ahead of Milano Cortina 2026,"International Olympic Committee newsWith one year to go until the Olympic Winter Games Milano Cortina 2026, new research from SWG commissioned by Coca-Cola Italy reveals that Italians see the Olympic...",https://finnhub.io/api/news?id=cfd3eecd6e3844bba2040ff1cc365005cc7bf4708f491074a755d2e8faf7bc9f,Finnhub,negative,0.9355,2025-04-16,-1,1.0,-1.0
2025-04-15 15:07:16,Pepsi: Pay The Right Price,,https://finnhub.io/api/news?id=38f393c1a4d8a0d70decea0bcc8279879aeed10510f7d154da2d913e8dee44ff,SeekingAlpha,positive,0.8735,2025-04-15,1,1.2,1.2
2025-04-15 13:09:00,PepsiCo Q1 Preview: This Isn't The Time To Chase PEP's Dividend,,https://finnhub.io/api/news?id=8ef30dfd01935bfdfa878a6707f5136d888dac5afd8e23b8e08c642a77e194a5,SeekingAlpha,positive,0.7139,2025-04-15,1,1.2,1.2
2025-04-15 12:30:26,Coca-Cola Europacific Partners (CCEP): Among the Best Performing Stocks in Europe,"We recently published a list of 11 Top Performing European Stocks So Far In 2025. In this article, we are going to take a look at where Coca-Cola Europacific Partners PLC (NASDAQ:CCEP) stands against other best performing European stocks to invest in. The world economy is hanging by a thread, as the macroeconomic environment consists […]",https://finnhub.io/api/news?id=cda044df362b17a7b6fef594c8155071e8ddeea30eec125365219257e03a1964,Yahoo,negative,0.9463,2025-04-15,-1,1.0,-1.0
2025-04-15 11:09:00,Desiring Durable Passive Income During an Economic Downturn? These Elite Dividend Stocks Have Hiked Their Payouts In Each of the Last 4 Recessions.,"Economic forecasters are raising the odds that we could experience a recession in the coming quarters.  Goldman Sachs has hiked its recession probability a few times in recent weeks, bumping it from 20% all the way to 45%.  Its recession model sees a nearly 80% chance the economy goes into a recession, up from 60% not long ago.",https://finnhub.io/api/news?id=7a1b7284ff8c44d16816cff41526e81c285d51e0e0a4a52cd11383d163621995,Yahoo,negative,0.9239,2025-04-15,-1,1.0,-1.0
2025-04-15 08:55:00,How Dividend Stocks like Coca-Cola Can Help You Rest Easy Amid Stock Market Unrest,"Coca-Cola (NYSE: KO) is a famous company with an iconic brand known the world over.  Operating in the consumer staples space, consumers tend to keep buying its products right through periods of stock market and economic turmoil.  While Coca-Cola is an elite company, it is far from the only consumer staples maker that can help you rest easy amid stock market unrest.",https://finnhub.io/api/news?id=6b52c87e8a673a9c89b07c2c62907be77b7256ec22f8b54756a6ffa9415c2801,Yahoo,positive,0.8556,2025-04-15,1,1.0,1.0
2025-04-15 08:23:00,Get Income Like Warren Buffett: 3 Dividend Stocks in Berkshire Hathaway's Portfolio That Pay You Back,"Warren Buffett is famous because of the long-term success he has achieved running Berkshire Hathaway.  Second, it doesn't pay dividends despite the fact that Buffett often invests in dividend-paying companies.  Here's why that matters and why you might want to buy one of these three dividend payers he owns.",https://finnhub.io/api/news?id=ae1296e8a002d8f2e52109d9f3ce8339cdf4f61ddd52655a70d0318fc7da4c05,Yahoo,positive,0.9216,2025-04-15,1,1.0,1.0
2025-04-15 07:15:00,PepsiCo's Valuation Hasn't Been This Low In A Decade - Time To Buy,,https://finnhub.io/api/news?id=a4b9377a33a8ef4c6882560a1c42e3c0503e447c0752d0733ec1fb4df18a4efb,SeekingAlpha,neutral,0.6333,2025-04-15,0,1.2,0.0
2025-04-15 02:30:00,FTCS: Unconvincing Quality-Focused ETF,,https://finnhub.io/api/news?id=4b5ec22e3979e1279b906f10bedd64f71141cada03638d47029b2346cb8c9262,SeekingAlpha,positive,0.9185,2025-04-15,1,1.2,1.2
2025-04-14 14:36:58,The Coca-Cola Company (KO): “A Low-Risk Juggernaut” – Jim Cramer,"We recently published a list of 10 Stocks on Jim Cramer’s Radar. In this article, we are going to take a look at where The Coca-Cola Company (NYSE:KO) stands against other stocks on Jim Cramer’s radar. On Thursday, Mad Money host Jim Cramer cautioned viewers about what may lie ahead once the 90-day pause on […]",https://finnhub.io/api/news?id=15606ed9a39fee318b0c5701fcacc73cec3aa59810881797652649cbc895932d,Yahoo,positive,0.7923,2025-04-14,1,1.0,1.0
2025-04-14 13:00:13,Investors Heavily Search CocaCola Company (The) (KO): Here is What You Need to Know,"Zacks.com users have recently been watching Coca-Cola (KO) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",https://finnhub.io/api/news?id=d0d2e12345dc7aa39f6c22621741e995cacb284f77dcb65236b99b729e6e5652,Yahoo,positive,0.9437,2025-04-14,1,1.0,1.0
2025-04-14 07:15:00,Berkshire's Underappreciated Potential During Turmoil,,https://finnhub.io/api/news?id=5d2e96be40995d3475f4820a98d8579c1794abf30cd6d4c6e217ab8b2193ab53,SeekingAlpha,neutral,0.9407,2025-04-14,0,1.2,0.0
2025-04-13 21:44:26,“Perfect Coca-Cola!” – Jim Cramer’s On Coca-Cola Company (KO),"We recently published a list of Jim Cramer Discussed These 12 Stocks. In this article, we are going to take a look at where Coca-Cola Company (NYSE:KO) stands against other stocks that Jim Cramer discussed. On Thursday, Jim Cramer, host of Mad Money, described the 145% duty on China as so extreme that it essentially […]",https://finnhub.io/api/news?id=eddcbee289986d6a1280a16d889d3c19619fa112abbf9d926d4eb2561dd3bcfc,Yahoo,positive,0.9218,2025-04-13,1,1.0,1.0
2025-04-13 19:15:00,The Best High-Yield Dividend Stocks to Buy for 2025 and Beyond,Investors are looking for solid dividend stocks with volatility returning to the markets.  Coca-Cola (NYSE: KO) has historically weathered recessions well.  It has increased the dividend for 63 consecutive years after recently increasing its quarterly payment by 5% to $0.51.,https://finnhub.io/api/news?id=94f5067f239a6eb4be08364d0405563d489d5cb4950bebb5cc04e4202a06534e,Yahoo,positive,0.7589,2025-04-13,1,1.0,1.0
2025-04-13 14:12:47,DJD: Dividend And Value In Mega Caps,"Discover how the Invesco DJD ETF compares to popular dividend ETFs with balanced sector exposure, strong value traits, and insights on yields and...",https://finnhub.io/api/news?id=3814e8985460c1a7daafd9627c1aa365e76705ede58ad1cd79cffc47239cd0a2,SeekingAlpha,positive,0.9492,2025-04-13,1,1.2,1.2
2025-04-13 09:15:00,SCHD's Portfolio Shake-Up: What It Means For Investors (Rating Downgrade),,https://finnhub.io/api/news?id=c263ba91fd2f5f97e2245d7d6f38efdbee4b461a2189aef3eb9e8358f6ec77e0,SeekingAlpha,positive,0.8143,2025-04-13,1,1.2,1.2
2025-04-13 08:01:00,Navigating Today's Volatile Market: A Stress-Free Approach,"The stock market faces volatility and uncertainty due to tariff unpredictability, inflation, and economic fluctuations. Our investment strategy lets you sleep well at night. Read more here.",https://finnhub.io/api/news?id=f550b61b366c64e835b4cb13ccf6ac34159c26dff6938ed36481c05c9cfa4ca3,SeekingAlpha,positive,0.7828,2025-04-13,1,1.2,1.2
2025-04-12 08:30:00,How To Buy Low And Sell High Consistently For Lifelong Wealth,,https://finnhub.io/api/news?id=98245e313a1904662c3f16550cb0717c1994123cf8eff3760881c035898779cd,SeekingAlpha,positive,0.9136,2025-04-12,1,1.2,1.2
2025-04-12 07:05:00,1 Magnificent High Yield Stock Down 33% to Buy and Hold Forever,"Other investors are likely to see the market declines as an opportunity to get aggressive and buy, perhaps picking up an ultra-high-yield stock like AGNC Investment (NASDAQ: AGNC).  It's better to cut the middle and go with a different type of investment.  AGNC Investment's gargantuan yield could be a siren call to dividend investors who think they are picking up a stock that will provide them with reliable income for the rest of their lives.",https://finnhub.io/api/news?id=a9d29b201ef76893847d903de60ede2c7b58c7abd326bb2f5407cfb286fc5713,Yahoo,neutral,0.9651,2025-04-12,0,1.0,0.0
2025-04-11 18:04:00,Why kosher-for-Passover Coca-Cola is going viral among non-Jewish shoppers,Why kosher-for-Passover Coca-Cola is going viral among non-Jewish shoppers,https://finnhub.io/api/news?id=fbdcaf8ee70bb302f952045d981eca96644524437189c9abc2c53948636504df,MarketWatch,positive,0.8066,2025-04-11,1,1.0,1.0
