datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 07:00:00,ClearBridge Value Strategy Q1 2025 Commentary,,https://finnhub.io/api/news?id=35535e3cea80b09456684a0cb073c03b1717d2f8f368e5df3aa2bd24396ed4a2,SeekingAlpha,positive,0.9235
2025-04-08 22:14:42,"PepsiCo, Inc. (PEP): Among Defensive Stocks Billionaire Ken Fisher is Betting On","We recently published a list of 10 Defensive Stocks Billionaire Ken Fisher is Betting On. In this article, we are going to take a look at where PepsiCo, Inc. (NASDAQ:PEP) stands against other defensive stocks billionaire Ken Fisher is betting on. Ken Fisher, an American billionaire investor, author, and financial analyst, founded and runs Fisher Asset Management. […]",https://finnhub.io/api/news?id=892699a3886df6c64eab7fc377b884d820fd23c11fed754c75151fba3d2f7daf,Yahoo,positive,0.9136
2025-04-08 12:24:11,"CVS Health Appoints Former UPS And Pepsi Exec As Finance Chief, Stock Soars","CVS Health Inc (NYSE:CVS) on Tuesday named Brian Newman as executive vice president and chief financial officer designate, effective April 21. He will succeed current chief financial officer Tom Cowhey, who will transition as a strategic advisor to president and chief executive officer David Joyner, effective May 12. Newman was most recently executive vice president and chief financial officer of United Parcel Service Inc (NYSE:UPS). Also Read: FTC Pauses Lawsuit Against CVS, Cigna, UnitedHealth",https://finnhub.io/api/news?id=ef597c08632a3a43c92233bb518f730621826711cce4649c394c45745c7580e5,Yahoo,positive,0.8178
2025-04-08 08:42:00,"Zacks Investment Ideas feature highlights: Coca-Cola, PepsiCo, Berkshire Hathaway and Blackrock","Coca-Cola, PepsiCo, Berkshire Hathaway and Blackrock have been highlighted in this Investment Ideas article.",https://finnhub.io/api/news?id=0bb2e294343a516f75c2f17cfe6d0d0e1f36cbf7ec6f7c03907b265f3c3a5015,Yahoo,positive,0.9437
2025-04-08 08:14:00,Why I've Been Buying This Elite Dividend Stock During the Market Sell-Off,Stock market sell-offs can be challenging for investors.  Market volatility can make it tough to make new investments and keep the ones you already have due to the fear that they could lose value.  One dividend stock I've been buying during the current market sell-off is PepsiCo (NASDAQ: PEP).,https://finnhub.io/api/news?id=30d1c3ec9bfbfeba33a2ec6467d84cbe9e3d60c6f5e0c36219349b245d048d89,Yahoo,positive,0.887
2025-04-07 19:25:00,Still Time to Buy Coca-Cola Stock as a Defensive Hedge?,Coca-Cola (KO) stock hit a 52-week peak of $73 a share last Thursday and is sitting on +9% gains this year compared to the S&P 500's 14% decline.,https://finnhub.io/api/news?id=c2fd2683df88eb621ba707b8a4dedf3ac813587800314469a33633451ad58d8d,Yahoo,positive,0.9041
2025-04-07 16:32:00,PepsiCo Inc. stock underperforms Monday when compared to competitors,PepsiCo Inc. stock underperforms Monday when compared to competitors,https://finnhub.io/api/news?id=5f6081773025f171c6d62d06cad91b781748f1fae183a2a94c9bcaa401416e3b,MarketWatch,neutral,0.9494
2025-04-07 10:48:00,"Shareholder advocacy targets flexible packaging, reusables and recycling labels","Coca-Cola, Hyatt, Sealed Air, Starbucks and Wyndham recently reached agreements with shareholder advocates. Proposals remain pending at Amazon, Home Depot, Kraft Heinz, Mondelēz, PepsiCo and Wendy’s.",https://finnhub.io/api/news?id=d05954ac989e5a8494c32de8aaea73a519b6cf55b18dcf630ce33bd7c79cdbe0,Yahoo,positive,0.9079
2025-04-07 09:00:00,PepsiCo’s Life launches multigrain cereal aimed at family wellness,"The debut of the healthier offering, which targets building immunity and healthy bones, comes as the category continues to lose sales.",https://finnhub.io/api/news?id=417ea30822de2aeca2bdae75c4b4fbb3c9567be5257dbf1dea5812902d5180ca,Yahoo,positive,0.704
2025-04-06 21:08:12,Is PepsiCo (PEP) the Best Counter Cyclical Stock to Buy According to Analysts?,"We recently published a list of 11 Best Counter Cyclical Stocks to Buy According to Analysts. In this article, we are going to take a look at where PepsiCo, Inc. (NASDAQ:PEP) stands against other best counter cyclical stocks to buy according to analysts. Counter cyclical stocks stand out because they tend to perform well during […]",https://finnhub.io/api/news?id=78d991127cd3be1baa5aa50ae9a23ff6cc3a4ec13845066f40f083f94d4a4fd5,Yahoo,positive,0.865
