datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 09:21:00,"These Stocks Are Moving the Most Today: Apple, Microsoft, Tesla, Peabody Energy, Nvidia, Cal-Maine, and Delta","Apple stock rises but its slump over the past four sessions pushes the iPhone maker below Microsoft as the world’s most valuable public company, Tesla and Nvidia shares recover, while Peabody Energy and the coal industry get a boost from President Donald Trump.",https://finnhub.io/api/news?id=6b57b74d00a8d358bec5111cd9192bd00f0dceb9718b3d0042b2aacec8b3dc8f,Yahoo,positive,0.8568
2025-04-09 09:08:00,Should You Buy Tesla Stock Before April 22?,Tesla is slated to report first-quarter earnings later this month.,https://finnhub.io/api/news?id=bd76e57b62791139c9c2ce9b7c53c65477dd32572ae41c21c57837b089bc1597,Yahoo,positive,0.9399
2025-04-09 08:50:00,Tesla Stock Rises. Crack Appears in Musk’s Relationship With Trump Administration.,Investors watching shares fluctuate widely on Tuesday might have missed a potentially important development in the Trump administration.  Tesla’s stock move mirrored the market as investors continued to struggle with President Donald Trump’s tariff policies.  Advisor Peter Navarro is a staunch defender of tariffs and one of the architects of Trump’s trade policy.,https://finnhub.io/api/news?id=45e063992a1e696fb8c66ef1ec861b8a2df91a012412967eb7867b82d7865909,Yahoo,positive,0.5427
2025-04-09 08:00:31,What rankles Elon Musk the most — and what he actually likes — about Trump's trade approach,Elon Musk's disagreements with the Trump administration on tariffs have dramatically spilled into public view. It was a break that had been a long time coming.,https://finnhub.io/api/news?id=cbe144171415ea4df8bd1223a25de5ecca95c94035e7f8a92acd9098a7257b3a,Yahoo,positive,0.919
2025-04-09 07:08:47,China's car exports under pressure as Trump tariffs roil overseas markets,"BEIJING -China's car exports will likely face greater than forecast pressure this year as U.S. tariff hikes hit the economies of important overseas markets hard, potentially curbing consumer demand,...",https://finnhub.io/api/news?id=d6da6bd4a9da1798c6172bd43ce531d023eae71622eadaf002fb7f992628daad,Finnhub,neutral,0.9591
2025-04-09 05:55:00,ClearBridge Appreciation Strategy Q1 2025 Commentary,The ClearBridge Appreciation Strategy outperformed the benchmark S&P 500 Index in Q1 2025. Click here to read the full letter. ,https://finnhub.io/api/news?id=083f158d4301c89c95f0620eb374801f3c24c5ea5191a271a05948cd419529b0,SeekingAlpha,positive,0.8488
2025-04-09 05:08:12,"China Auto Sales Rose Sharply in March on Subsidies, Softer Price Competition","By Jiahui Huang China's auto sales rose sharply in March, thanks to ongoing government subsidies and relatively muted price competition. Retail sales of passenger cars rose 14.4% in March...",https://finnhub.io/api/news?id=e261989d6e0cab4c8014133c891b945b22cef09126e5fe1ecec1caa76f7cfa8c,Finnhub,negative,0.949
2025-04-09 00:33:00,Elon Musk gets more bad China news,The global EV industry is shifting in a direction that doesn't favor Tesla.,https://finnhub.io/api/news?id=0803f3a16871151305ab9ad1630bec615ba51e7282f4bd322c29eb03253d34d3,Yahoo,positive,0.4934
2025-04-09 00:07:26,"Dow Jones Futures Tumble, Yields Surge As Sweeping Trump Tariffs Begin","Dow Jones Futures Tumble, Yields Surge As Sweeping Trump Tariffs Begin",https://finnhub.io/api/news?id=93baf4d890fad89bcb6b2fc0b432d311330142cf9114b3effa81da2fb0569c03,DowJones,neutral,0.9253
2025-04-08 23:58:54,‘Truly a moron’: Elon Musk escalates spat with Trump adviser Peter Navarro over tariffs,"Elon Musk took another jab at President Donald Trump’s senior trade adviser Peter Navarro Tuesday, calling him a “moron” on social media as the Tesla CEO further splits from the White House’s tariffs plan.",https://finnhub.io/api/news?id=48bd911cb03fd000665517003086d155a52079d306f17a0794e2365560150114,Yahoo,neutral,0.8608
2025-04-08 20:50:20,"FBI looking into Tesla Supercharger damage incident, latest in series of vandalism acts","Electrek first reported the incident, saying an ""explosion"" led to a temporary shutdown of the charging station.  ""We are aware of the incident and are working with our partners to determine exactly what happened,"" the FBI told Reuters in an email.  The police department in Lacey, where the incident occurred, said in a Facebook post: ""This morning at 1:34, officers were dispatched to a malicious mischief after receiving multiple calls reporting a loud noise in the Sleater Kinney area.""",https://finnhub.io/api/news?id=db83b09f3787fc50a97f1e5869e07876800919eb177523b9ab7837186926d7b0,Yahoo,neutral,0.8585
2025-04-08 20:40:00,BYD Stock Soars. It’s Catching Up to Tesla in Yet Another Way.,"Better-than-expected financial results led to BYD stock’s jump.  Tesla, run by CEO Elon Musk, is expected to make almost $1.4 billion in the equivalent quarter.  Tesla delivered about 337,000 vehicles, down 13% year over year.",https://finnhub.io/api/news?id=bf89156116da0edad812c9ff2520d9068e36929a26c30b563179865507cbfc53,Yahoo,positive,0.5574
2025-04-08 20:33:00,Tesla Stock Gives Back Early Gains. Trump Just Hurt It.,"Coming into Tuesday trading, the shares had lost 17.5% over the past three trading sessions, which followed President Donald Trump’s “Liberation Day.”",https://finnhub.io/api/news?id=58cdebccfdb4548f2b9c1dc48e1c236f3065a3eca7fa8b2982fcc722a8b12576,Yahoo,neutral,0.898
2025-04-08 20:32:00,"These Stocks Moved the Most Today: Apple, Nvidia, Broadcom, Humana, CVS, Tesla, Super Micro, Marvell, and More","Apple stock rises after a three-day stretch that has seen shares of the iPhone maker tumble 19%, Broadcom announces a new buyback program of $10 billion, and Humana, CVS Health, and UnitedHealth jump as Medicare boosts payment rates.",https://finnhub.io/api/news?id=cb7640f64282c4b3271792b9933ac44de69e0e071461958b8d33d86822ad4780,Yahoo,positive,0.8049
2025-04-08 20:30:16,Elon Musk's Net Worth Dives Below $300 Billion For The First Time Since November Amid Tesla Attacks And Tariff Woes,"Elon Musk, the CEO of Tesla Inc. (NASDAQ:TSLA), has seen his net worth plunge below the $300 billion mark. This significant decrease is linked to the ongoing backlash against Tesla and the implementation of new tariffs. What Happened: Musk’s net worth ...",https://finnhub.io/api/news?id=6c726e260fdb03d7a76533729fe058df17c4dbd77bfbd5c193510e0732d62b97,Yahoo,neutral,0.968
2025-04-08 20:18:25,"Wedbush Cuts Apple, Tesla Targets as Tariff Pressure Mounts","Wedbush cut Apple's price target to $250, citing tariff-related supply chain exposure.",https://finnhub.io/api/news?id=e800655e18e4a3b3202579f6ece8c26cc3158c636e4993c203e6317c33f6071a,Yahoo,neutral,0.9374
2025-04-08 20:14:24,Market Chatter: Used Tesla Price Falling Faster Than Other Used EVs,"Tesla (TSLA) used car prices in the US and UK fell sharply during March, outpacing a dip in the pric",https://finnhub.io/api/news?id=6c9677a2a466c1d0c1100582c23f2ea5d8e80ac85aa1af914b083c1afc50d1a9,Yahoo,neutral,0.9659
2025-04-08 12:21:49,US Stock Futures Soar as Dip Buyers Emerge After Selloff,"(Bloomberg) -- US stocks rallied in premarket trading after a three-day selloff that wiped out more than $5 trillion of value in US equities. Most Read from BloombergThe Irish Hot Press Is the Low-Tech Laundry Trick the World NeedsThis Skinny Mexico City Tower Is Just 14 Feet Wide on One SideHousing Agency Aims to Relocate Its DC HeadquartersBoston Mayor Wu Embraces Trump Resistance as Campaign Heats UpTrump Order on CDFI Fund Risks Aid for Small Businesses, HousingS&P 500 futures gained 2.7% as",https://finnhub.io/api/news?id=a66a1986818f3d5f198e3584c44db07c2283d141c1809a84b27a842f05ca9363,Yahoo,negative,0.7144
2025-04-08 20:03:00,"McDonald's, Starbucks, and other US chains could face anti-American pushback, Wall Street fears",Store expansion and a comeback of the China market is the hope; tariff backlash could shutter that.,https://finnhub.io/api/news?id=644c4ee208df4493b088dc46ca2d68adaaa3785a7daed4ed1b5501148e33cd9c,Yahoo,neutral,0.8775
2025-04-08 19:23:55,Elon Musk Fires Back at Trump Adviser Over Tesla's Manufacturing and Tariff Feud,Musk defends Tesla's U.S. production as tensions rise with White House over tariff policy and trade impact,https://finnhub.io/api/news?id=b7996518b77a8bc7abbb2bf2c175f3176443503fc7a201f8e7d4a78263590076,Yahoo,neutral,0.9527
2025-04-08 19:03:00,"Tesla, Amazon, and Apple forfeit gains after fleeting Magnificent 7 stock rally","The trade-war selloff took a breather earlier on Tuesday, buoying Big Tech firms including Nvidia (NVDA), Tesla (TSLA), Meta (META), and Microsoft (MSFT), after a mixed day on Monday and two especially gnarly days last week wiped $1.8 trillion off the market value of leading tech stocks.",https://finnhub.io/api/news?id=dc7fb610b864a4838ec319cd46bb5ce70456bc93d3ba1dcdda2c306b4bd11c37,Yahoo,neutral,0.9172
2025-04-08 18:39:22,"Tesla Faces Heat From Weak Sales, Tariffs, and Musk Distractions","Tesla faces pressure from falling demand, tariff threats, and competitive headwinds as analysts downgrade expectations",https://finnhub.io/api/news?id=efc617a4899fb026bf6b779d7444ef904a4ead1145518573f8543a5707ef0852,Yahoo,neutral,0.9712
2025-04-08 17:34:53,Musk-Navarro Spat Escalates as Tesla CEO Calls Trade Adviser a 'Moron',"Things are getting pretty testy between Elon Musk and Trump's top trade adviser Peter Navarro.  Musk, a senior adviser to Trump on slashing the federal government, called Navarro ""truly a moron"" and ""dumber than a sack of bricks,"" in social media posts that responded to Navarro's televised comment that the Tesla CEO was merely a car ""assembler,"" using auto parts from around the world, rather than a car manufacturer.  In the CNBC clip posted to X, Navarro said it was bad for U.S. economic security to have cars assembled in the U.S. using foreign parts.",https://finnhub.io/api/news?id=e712bc466a29d88534dc88f19fe6da32e2a4be1f8d39a56cf1415e79bdbfddd0,Yahoo,neutral,0.941
2025-04-08 17:29:01,"Musk Needs To Leave Government, Says Wedbush's Ives","Dan Ives from Wedbush Securities says every day Elon Musk remains in government causes brand damage to Tesla. Ives joins Caroline Hyde and Ed Ludlow on ""Bloomberg Technology.""",https://finnhub.io/api/news?id=69f6718a803d798db37f67919cb028b9ff21aee7d80c9b56ba3fa6760807badf,Yahoo,positive,0.6316
2025-04-08 17:09:03,Elon Musk vs. Trump: Tesla Caught in a Tariff Firestorm,"Personal pleas, public fallout, and the company turned political pawn--can Tesla survive the trade war reboot?",https://finnhub.io/api/news?id=cf623afe630afa38bc705e3ff37000c5d46c40924d2c992a01b01d102ad31502,Yahoo,positive,0.7532
2025-04-08 16:39:00,"Cathie Wood’s Ark, Fidelity, and Royce Funds Get Hit Hardest by Tariffs, Report Says","Cathie Wood’s Ark, Fidelity, and Royce Funds Get Hit Hardest by Tariffs, Report Says",https://finnhub.io/api/news?id=7069ea49e74ced82542f507a1e48f8420f8d0b0d493a40978824b2a1c7bac997,MarketWatch,neutral,0.8902
2025-04-08 16:38:27,Stock Market Today: Indexes Negative As Stocks Gyrate; Investors Unsteady As Tariffs Set To Begin (Live Coverage),Stock Market Today: Indexes Negative As Stocks Gyrate; Investors Unsteady As Tariffs Set To Begin (Live Coverage),https://finnhub.io/api/news?id=a1710378cc9be6762708778aeac604cfff114dedf46117f0164c3edc8eb21b5a,DowJones,neutral,0.9546
2025-04-08 16:00:19,Elon Musk calls Peter Navarro 'dumber than a sack of bricks' as Trump trade feud gets bitter,President Donald Trump’s new tariff policies aren’t just sending the markets crashing and people panicking; they’re creating infighting within his administration.,https://finnhub.io/api/news?id=93f886a1516a55a36226f0a3e07b4a68be7a1cb55d9556bd6415859d4c4da30c,Yahoo,neutral,0.6885
2025-04-08 15:49:56,"Musk despises Navarro, architect of Trump’s trade war","Investing.com -- Illustrating signs of cracks in the upper echelons of the Trump administration, Tesla (NASDAQ:TSLA) CEO and DOGE chief Elon Musk continues to lash out publicly at key Trump advisor and tariff architect Peter Navarro, calling him a ""moron.""",https://finnhub.io/api/news?id=d3b70ebe4e7903bd953fc9a103c8606e8d1a5cd039d11e79dcfc7ecbf73d93c7,Yahoo,neutral,0.631
2025-04-08 15:40:00,"Stressful Markets, But Lots Of Opportunities In Tech","Sara Awad from Tech Stock Pros returns to discuss market uncertainty, volatility, and the tech sector.",https://finnhub.io/api/news?id=512f0fac91cd57e8758eade6442e956f95339d69b018c44cf8cc32d1716c9105,SeekingAlpha,negative,0.5823
2025-04-08 15:20:00,Cathie Wood is finally back to buying Nvidia’s stock for her flagship ETF,Cathie Wood is finally back to buying Nvidia’s stock for her flagship ETF,https://finnhub.io/api/news?id=4f761489e04b3f330dfcdea560062dfe2a0ae68f7a962cbe31948af0c55b5703,MarketWatch,positive,0.8461
2025-04-08 13:47:00,Wall Street Lunch: Musk's Reported Plea To Reverse Tariffs Falls Flat,,https://finnhub.io/api/news?id=adb5e407e4bf4433b86852d9c9eaeca957a37feb3d543e5ad77b317bc8754650,SeekingAlpha,neutral,0.9549
