datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 12:04:43,Evercore ISI Group Initiates Coverage of Visa (V) with In-Line Recommendation,,https://finnhub.io/api/news?id=22cb8dcb7c357670bfaf5ae86a771c6ff8527a495a1bec1964a8b637bba37d3f,Fintel,positive,0.8161
2025-04-09 07:10:00,GreensKeeper Value Fund Q1 2025 Letter,,https://finnhub.io/api/news?id=3b5d93b9313362aa121b1ac577ad0ff907370506b223d0c9211740c1dd272172,SeekingAlpha,positive,0.9239
2025-04-09 05:55:00,ClearBridge Appreciation Strategy Q1 2025 Commentary,The ClearBridge Appreciation Strategy outperformed the benchmark S&P 500 Index in Q1 2025. Click here to read the full letter. ,https://finnhub.io/api/news?id=083f158d4301c89c95f0620eb374801f3c24c5ea5191a271a05948cd419529b0,SeekingAlpha,positive,0.8488
2025-04-08 20:05:00,"Visa to Announce Fiscal Second Quarter 2025 Financial Results on April 29, 2025","SAN FRANCISCO, April 08, 2025--Visa (NYSE: V) will report its fiscal second quarter 2025 financial results on Tuesday, April 29, 2025. After market close, Visa will furnish the results with the Securities and Exchange Commission and post them, along with accompanying financial information, on the Visa Investor Relations website. Visa will issue a news wire alert when the earnings materials are publicly available, including a link to those documents.",https://finnhub.io/api/news?id=42f5194df38ed1442dc4586606364301de0fc14d2124966f34fae8ac6cbfeade,Yahoo,positive,0.9346
2025-04-08 16:31:00,Visa Inc. Cl A stock underperforms Tuesday when compared to competitors,Visa Inc. Cl A stock underperforms Tuesday when compared to competitors,https://finnhub.io/api/news?id=789624895b552e70e3be209c71cc73fcabda0e1e22973c8e7c28dd61e8300954,MarketWatch,neutral,0.9392
2025-04-08 13:00:17,Visa Insiders Sold US$20m Of Shares Suggesting Hesitancy,"Over the past year, many Visa Inc. ( NYSE:V ) insiders sold a significant stake in the company which may have piqued...",https://finnhub.io/api/news?id=994692a09993820f775dc71f23306a3ba4c0ecc9564026d9e94fed7dcc36bf73,Yahoo,positive,0.7184
2025-04-08 09:23:00,2 Stocks With Incredible Balance Sheets That Can Offer Safety in Tariff Chaos,These companies have the business strength and financials to give you peace of mind in a fearful market.,https://finnhub.io/api/news?id=d98c6daf2e779aa9b1b6fc9f8107f0c53852c14dc122862ab4e0584d2776e64b,Yahoo,negative,0.6743
2025-04-08 07:15:00,Recession-Proofing Your Portfolio,,https://finnhub.io/api/news?id=2ab752356c3f58c4231fd378b6a8bad0c06f7634cd29b3b9df9021a06d80764f,SeekingAlpha,positive,0.8396
2025-04-08 06:01:00,Thornburg Summit Fund Q4 2024 Commentary,"In 4Q24 Thornburg Summit Fund (I share class) returned -1.82%, 82 basis points ahead of the Blended Index (60% MSCI ACWI Index and 40% Bloomberg Global Aggregate Index).",https://finnhub.io/api/news?id=0f3aca3933eb89bfa291d41a74c52adf0dc80359f2e04e37edfd3c9baf71ba50,SeekingAlpha,positive,0.9446
2025-04-08 02:34:40,Is Visa Inc. (V) the Best Fundamental Stock to Buy According to Billionaires?,"We recently published a list of 10 Best Fundamental Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Visa Inc. (NYSE:V) stands against other best fundamental stocks to buy according to billionaires. As per Fitch Ratings, the US tariffs are now at levels that continue to […]",https://finnhub.io/api/news?id=67312b63a146424b10c698739d0149d8fa7d2681b1653cfdacad0c4337c4e077,Yahoo,positive,0.8773
