datetime,headline,summary,url,source,sentiment,confidence
2025-04-09 09:04:07,Walmart stands by its annual financial outlook but pulls back its 1Q view amid tariff uncertainty,"NEW YORK — Walmart, the nation's largest retailer, is standing behind its full-year sales and operating income outlook even as President Donald Trump has launched tariff wars with China and nearly...",https://finnhub.io/api/news?id=6303bfc9ef83618468795e2487f3136634bbdb4ad90ae2bcbde1c2d61c7a21c2,Finnhub,neutral,0.9449
2025-04-09 07:45:17,Walmart leaves annual forecasts unchanged amid Trump tariff woes,"Walmart is sticking to its sales and operating income growth forecast for the year, the retailer said on Wednesday, even as U.S. President Donald Trump's sweeping tariffs fuel economic uncertainty. ...",https://finnhub.io/api/news?id=b440c4c5a073af4d647d17cb1cceb135b8ac7731286da8eb0bff909167a7ee7f,Finnhub,neutral,0.9489
2025-04-09 07:35:22,Walmart Reaffirms 1Q Sales Ahead of Tariffs,By Katherine Hamilton Walmart reaffirmed its first-quarter sales guidance and widened its range for operating income growth to stay flexible on pricing as tariffs go into effect. The retailer...,https://finnhub.io/api/news?id=bba8c9c3c32523c0fc289dc7391f5ef1b68bea795364ff1b63adb73dae1e2cd6,Finnhub,positive,0.7601
2025-04-09 07:10:27,Walmart reaffirms annual forecasts,"Walmart is sticking to its annual sales and operating income growth forecast, the retailer said ahead of its investor day on Wednesday. The retailer had in February forecast annual...",https://finnhub.io/api/news?id=ef8f322b86a3ad3c42f88edc198417a0f06e9a97e8faaf187a1ff1cafc5d7100,Finnhub,positive,0.4736
2025-04-09 07:07:03,Walmart Showcases Business Strategy Focused on Driving Growth and Shareholder Value,Company reaffirms Q1 sales guidance and shares vision for growth and enhanced customer experience at Investment Community Meeting; FY2026 guidance remains unchanged....,https://finnhub.io/api/news?id=9f9a7807e68b13d8d9f0b91890c5b630468ce65d249d32738434862bb3fb2492,Finnhub,positive,0.6437
2025-04-09 07:02:58,Walmart reaffirms annual sales forecast,Walmart ahead of its investor day on Wednesday reaffirmed its annual sales forecast. The retailer had in February forecast annual sales to rise between 3% and 4%. ...,https://finnhub.io/api/news?id=d472a79d4408cdc15968a4dafe46ac34cc8fbe431fd5bc8235e925a052d14235,Finnhub,negative,0.4577
2025-04-09 06:46:25,Wall Street Breakfast Podcast: Easter Spending To Hop To $23.6B Despite Uncertainty,,https://finnhub.io/api/news?id=25806df4760050d75402b5728b82968a84c21d6d2cb755a9fad8905ebafbf29c,SeekingAlpha,negative,0.937
2025-04-08 22:16:38,Walmart Inc. (WMT): Among Defensive Stocks Billionaire Ken Fisher is Betting On,"We recently published a list of 10 Defensive Stocks Billionaire Ken Fisher is Betting On. In this article, we are going to take a look at where Walmart Inc. (NYSE:WMT) stands against other defensive stocks billionaire Ken Fisher is betting on. Ken Fisher, an American billionaire investor, author, and financial analyst, founded and runs Fisher Asset Management. […]",https://finnhub.io/api/news?id=86dbeb1325751eb3e7da0df0403d8097fe4eb7a10ab2c958357e2a27dacdb238,Yahoo,positive,0.909
2025-04-08 20:31:00,"Top Stock Reports for Walmart, Coca-Cola & HSBC","Today's Research Daily features new research reports on 16 major stocks, including Walmart Inc. (WMT), The Coca-Cola Company (KO) and HSBC Holdings plc (HSBC), as well a micro-cap stock Friedman Industries Inc. Common Stock (FRD).",https://finnhub.io/api/news?id=4669237d2daf1732993f86bb926e083a91e18f62033dd7d44796cfe1f6bafd98,Yahoo,positive,0.9214
2025-04-08 19:41:45,Walmart CEO: ‘We’ll Be Focused On Keeping Price as Low as We Can’,"Walmart Chief Executive Doug McMillon offered a reassuring message to investors Tuesday, and described President Trump’s sweeping new tariffs as “a fluid environment."" “We’ve learned how to manage through turbulent periods,” McMillon said, welcoming investors arriving in Dallas Tuesday for a two-day meeting with Walmart executives.",https://finnhub.io/api/news?id=5f5df57567edc7b0ea2fee99bd3dbf55dba4cc3eb4deaa92fdf50b127f127bf6,Yahoo,positive,0.7359
2025-04-08 16:33:00,All of Retail Wants a Tariff Playbook. Walmart Could Deliver.,Investors and other retailers will be looking for clues on how to navigate the new tariff environment.,https://finnhub.io/api/news?id=41d6aa5c3e8a424f84ad62744c4e0e639354cad326dcc512f39adc11da221384,Yahoo,positive,0.7653
2025-04-08 16:31:00,Walmart Inc. stock outperforms competitors despite losses on the day,Walmart Inc. stock outperforms competitors despite losses on the day,https://finnhub.io/api/news?id=c30b2b266e6859285d43da62ecedd594bf651bb4c5bee30da6e0467362711e5b,MarketWatch,negative,0.9398
2025-04-08 14:24:30,2 High-Flying Stocks on Our Buy List and 1 to Avoid,Expensive stocks typically earn their valuations through superior growth rates that other companies simply can’t match. The flip side though is that these lofty expectations make them particularly susceptible to drawdowns when market sentiment shifts.,https://finnhub.io/api/news?id=2cb5caaffe2463a26e1af7f0897333cf5c8ceeb16181de30a8d49ccdf7bb96b5,Yahoo,positive,0.8972
2025-04-08 14:07:00,Walmart Stock's Recent Pullback: Should Investors Buy Now or Wait?,"Despite macroeconomic challenges, WMT's strategic investments in e-commerce and delivery support its long-term growth outlook.",https://finnhub.io/api/news?id=c03330cd5dfb396e1c335d621f6b086eb6d2509c403678df963201ce5d469736,Yahoo,neutral,0.6726
2025-04-08 12:34:19,Trump tariffs pose significant profit risk to Walmart,Walmart could be walloped in a worst-case tariff scenario.,https://finnhub.io/api/news?id=335d203d6804faeac4ab563401056fbd36295e26d5f03e376d2a879aaa020d0f,Yahoo,neutral,0.7575
2025-04-08 11:37:55,"Stocks rally on tariff hopes, China vows to fight: 3 things you need to know","It could be Turnaround Tuesday for stocks after a bruising three-day stretch. Futures on the Dow Jones Industrial Average are jumping, as traders focus on the Trump administration reportedly beginning trade discussions with Japan. The S&P 500 and Nasdaq Composite are also set to open higher. President Trump's broad tariffs are set to kick in tomorrow, with many now seeing them as a negotiating tactic. China, however, vowed today to quote “fight to the end” on the tariff front.Here is what you need to know about the markets today:Levi’s puts investors through the spin cycle: Shares of  the jeans maker surged 10% in early trading following better than expected quarterly earnings. The company maintained its full year profit outlook. Walmart is in focus: While Wall Street tries to estimate what tariffs could mean for companies, veteran retail analyst Greg Melich of EvercoreISI is estimating a worst-case scenario of tariffs on Walmart. Melich said, ""If 50% incremental [tariffs] on China and 20% rest of the world [tariffs] are maintained, AND no carrots of tax cuts or deregulation are implemented, we estimate the EPS pressure for Walmart of 2% could grow 3x higher."" BrIIt could be the year of lost profits for companies due to tariffs: The bottom up consensus earnings per share expectation for the S&P 500 assumes 9.6% growth. Some of the biggest EPS gains are seen in tech darlings Nvidia, Broadcom, Netflix and Microsoft. But long-time strategist Adam Parker at Trivariate Research says investors no longer believe those numbers. Parker thinks the tariffs are such a headwind, investors may see NO earnings growth for the S&P 500.",https://finnhub.io/api/news?id=e6196157acc960d927cd1bde00d78e182662c4dcd05fb34ac826409d5aa99899,Yahoo,positive,0.8573
2025-04-08 11:00:00,Walmart+ Goes All-In with Week of Exclusive Member Benefit Savings for Walmart+ Week,"BENTONVILLE, Ark., April 08, 2025--As one of the most valuable memberships in retail, Walmart+ is celebrating its continued momentum by rolling out the blue carpet for the return of Walmart+ Week, taking place from April 28 through May 4. This year’s members-only, weeklong event celebrates both loyal and new members with an exciting array of exclusive rewards and offers that build upon existing benefits, including:",https://finnhub.io/api/news?id=546d87f18a6bbea0221d706d30a634b0466867aa91e5217cb6c4b4e9f311253b,Yahoo,negative,0.9211
2025-04-08 10:50:00,"Kroger, Lidl roll out Easter deals","Kroger’s meal for the holiday costs less than $6 per person, while the discounter is serving up spiral ham for 80 cents less than last year.",https://finnhub.io/api/news?id=556d59f6f5e22018b462a98fb001bf856f5d6cad722eb7ad17fa73562bad4913,Yahoo,positive,0.9278
2025-04-08 10:02:30,Some US consumers stockpile goods ahead of Trump's new tariffs,"Pushing a shopping cart down the aisle of a Walmart Supercenter, Thomas Jennings, 53, loaded up on juices, condiments and whatever he could think of.  Earlier at Costco , Jennings bought flour, sugar and water in bulk.  Like a growing number of U.S. shoppers, Jennings believes retail prices will soon rise because of Trump's tariffs.",https://finnhub.io/api/news?id=6423ebff457d3784482764558de3349638434cb27288d6bf5a08c7f9ba5c39bf,Yahoo,positive,0.8606
2025-04-08 10:00:00,How a Saks Fifth Avenue veteran is doing what many thought impossible: Turning Walmart into a fashion force,Most of Walmart's growth is coming from more affluent shoppers it is trying to lure with more fashion.,https://finnhub.io/api/news?id=6079f297fa5ecc45726dbb7345776eece7f0eaad5e4b80aff10cb43df13c4b71,Yahoo,positive,0.9105
2025-04-08 07:15:00,Recession-Proofing Your Portfolio,,https://finnhub.io/api/news?id=2ab752356c3f58c4231fd378b6a8bad0c06f7634cd29b3b9df9021a06d80764f,SeekingAlpha,positive,0.8396
