datetime,headline,summary,url,source
2025-04-09 08:17:01,"Berkshire Hathaway: Buffett Was Right, Again",Berkshire Hathaway's (BRK.A)(BRK.B) large cash position allows it to capitalize on market volatility. Read more to see my recommendation for the stock.,https://finnhub.io/api/news?id=3f6dd2d355e2d9a4cdb103e6bcd1578dac7e711319e1bba4e19861c6fc6c0eac,SeekingAlpha
2025-04-09 08:00:00,Client Update February 2025: A New Year,,https://finnhub.io/api/news?id=2add1af658e317edd3d9a3b8b82d84eafd6af57d4ceb89f5e3cea879a3c3492a,SeekingAlpha
2025-04-09 05:55:00,ClearBridge Appreciation Strategy Q1 2025 Commentary,The ClearBridge Appreciation Strategy outperformed the benchmark S&P 500 Index in Q1 2025. Click here to read the full letter. ,https://finnhub.io/api/news?id=083f158d4301c89c95f0620eb374801f3c24c5ea5191a271a05948cd419529b0,SeekingAlpha
2025-04-08 07:15:00,Recession-Proofing Your Portfolio,,https://finnhub.io/api/news?id=2ab752356c3f58c4231fd378b6a8bad0c06f7634cd29b3b9df9021a06d80764f,SeekingAlpha
2025-04-07 13:15:40,Three Names To Keep An Eye On In A Tariff Recession,"AT&T, Energy Transfer, and Berkshire Hathaway stand out as stable investments amid market instability. Read the full stock report here on Seeking Alpha.",https://finnhub.io/api/news?id=2f05adf8c35130067ea586d47deaf66d0b735589f79e853ef8a64cb9128f5055,SeekingAlpha
2025-04-07 07:15:00,S&P 500's Next Stop: Recession,The time has come when the newly US-elected government introduced the long-awaited tariffs policy. Read more to see my thoughts.,https://finnhub.io/api/news?id=58dae7209892244f36ee7dc48e0bad71e1d7836aa72c2d45847d46ae64c7c0ed,SeekingAlpha
2025-04-06 05:45:22,Berkshire Hathaway Is A Great Tariff Investment,Berkshire's (BRK.A)(BRK.B) earnings and segment breakdown highlight its diverse and resilient business operations. See why I continue to rate the stock a buy.,https://finnhub.io/api/news?id=40bdf09eb0acc233612f0173aaaeb37501ba0cbf84f0d8b584d1ca365d800f3c,SeekingAlpha
2025-04-04 16:31:00,Berkshire Hathaway Inc. Cl B stock outperforms competitors despite losses on the day,Berkshire Hathaway Inc. Cl B stock outperforms competitors despite losses on the day,https://finnhub.io/api/news?id=e49fecb7966169aefab8a67860e35076ae522fbcc00c483a91a7c07a11b092c0,MarketWatch
2025-04-04 13:50:12,"It Looks Like Buffett Was Right: Stocks Crushed As Recession Odds Hit 56%, What's Next?",Recession odds are rising. Read more on the long-term market reaction and what investors are doing to prepare for volatile times.,https://finnhub.io/api/news?id=7ed97567ea5c20f4ae2a62f0bb102150137efb2e8a949ceff69f0594b7c056eb,SeekingAlpha
2025-04-04 12:52:08,Berkshire's Growth Engine Is Cooling: Time To Reassess,"Berkshire Hathaway surged thanks to rising interest rates, but growth may stall. Find out why BRK.A stock is rated hold.",https://finnhub.io/api/news?id=c3cf7f7f225f782d2e3d6660be1550c2882da164da113bd63b26716876646d5a,SeekingAlpha
2025-04-04 09:00:00,St. James Investment Company Value Investor's Q1 2025 Letter,"The Q1 2025 letter from St. James Investment Company explores disciplined investing, market speculation, and the Gell-Mann Amnesia effect. Click here to read more.",https://finnhub.io/api/news?id=8e18396c99ce1ee2550a71eacab5580720038213682828175a08029845b70aa6,SeekingAlpha
2025-04-04 08:00:00,Berkshire Hathaway: The Stock Market Can Be A Win-Win Game,Our oldest and longest-held position in our portfolio is Berkshire Hathaway. Click here for our brief thesis on BRK.A & BRK.B stock. ,https://finnhub.io/api/news?id=5b8c780cf0c6c92d8886c5d659ecb028d184943fcff4a668979574f9458e7494,SeekingAlpha
2025-04-04 06:00:00,Vltava Fund Q1 2025 Letter To Shareholders,,https://finnhub.io/api/news?id=54f99e0d8fde0fa6fdb8881d04226fd1bba9400bec6b4f7f979247971d257c68,SeekingAlpha
2025-04-03 13:42:00,Why You Should Ignore Everything Going On in the Market Right Now,Why You Should Ignore Everything Going On in the Market Right Now,https://finnhub.io/api/news?id=9ad0c01969e69b855858ce3d6d5c6cc52502ff1fea724e552f688dadcecb87bb,MarketWatch
2025-04-02 18:27:43,S&P 500: Indicators Signal Rising Recession Risk,,https://finnhub.io/api/news?id=e970bdfd691f131449d53973b50a7b9072b40209fe4b05d71bf3f4262ad62396,SeekingAlpha
2025-04-02 13:10:00,Here’s How Much Money Elon Musk and Jeff Bezos Lost in the First Quarter of 2025,Here’s How Much Money Elon Musk and Jeff Bezos Lost in the First Quarter of 2025,https://finnhub.io/api/news?id=55e07e1876cd532c9d44a3ddb989eb2f9560dea62e839255c8339fb312e25dda,MarketWatch
