datetime,headline,summary,url,source
2025-04-09 09:05:14,German regulator ends probe into Google's in-car services after agreed remedies,"BERLIN (Reuters) -Google agreed on Wednesday to modify its automotive services and maps platform to end a German antitrust investigation that could have resulted in a hefty fine, with the changes applying across Europe.  The German Federal Cartel Office said it had ended its probe into the matter in light of commitments made by the company.  The remedies are expected to apply more broadly and not just in Germany because carmakers seek to develop uniform systems that can be deployed internationally.",https://finnhub.io/api/news?id=0cdaae9a55777e89edd0d66a33f6a250f3864881a916d475c644b3cfdf26d5df,Yahoo
2025-04-09 08:00:00,Client Update February 2025: A New Year,,https://finnhub.io/api/news?id=2add1af658e317edd3d9a3b8b82d84eafd6af57d4ceb89f5e3cea879a3c3492a,SeekingAlpha
2025-04-09 08:00:00,Stock Market Crash: 3 Tech Stocks You Can Buy and Hold for the Next Decade,"With the stock market falling more than 10% in two days, we have officially witnessed a stock market crash.  Let's look at three tech stocks that fit that bill.  Despite semiconductors being exempted (for now) from the tariffs slapped on Taiwan, Nvidia (NASDAQ: NVDA) has not been spared in the recent market sell-off.",https://finnhub.io/api/news?id=68d7af5234608163c8d3eeadf65dc8f369ab560328de53e693e0c02ae0d7f1f8,Yahoo
2025-04-09 07:54:50,XLC: The Valuation And Technicals Lining Up After The 20% Plunge (Rating Upgrade),"XLC is heavily weighted towards megacaps like GOOG, META, and NFLX, which command 35% of the portfolio, making their fundamentals and technicals crucial. Read more here.",https://finnhub.io/api/news?id=f8100a6bc421fa625b4bfd5507e08dd576045634322885f5afd1d845b197ac5e,SeekingAlpha
2025-04-09 07:06:00,Trump Stock Market Crash: 3 Surefire Stocks That Are Too Cheap to Pass Up,"A tariff-induced tumble for the Dow, S&P 500, and Nasdaq Composite paves the way for opportunistic investors to buy shares of phenomenal businesses at a discount.",https://finnhub.io/api/news?id=bce96f1019a21aecdaa3c9dcfc24f4438f795cd76446a7aaf4e8b12af09c35e1,Yahoo
2025-04-09 06:11:10,"Google Offers to Tweak Automotive Services, Maps Contracts to Appease German Regulator","By Edith Hancock Alphabet's Google will change how it offers its Maps and Automotive Services features to car manufacturers in Europe, Germany's antitrust watchdog said as it wields a relatively...",https://finnhub.io/api/news?id=6943eccfb80b9843075171a1fd5036b77b6e7ceaacc3c2148e85d1f392a81721,Finnhub
2025-04-09 05:55:00,ClearBridge Appreciation Strategy Q1 2025 Commentary,The ClearBridge Appreciation Strategy outperformed the benchmark S&P 500 Index in Q1 2025. Click here to read the full letter. ,https://finnhub.io/api/news?id=083f158d4301c89c95f0620eb374801f3c24c5ea5191a271a05948cd419529b0,SeekingAlpha
2025-04-09 05:40:00,ClearBridge Global Growth Strategy Q1 2025 Commentary,,https://finnhub.io/api/news?id=7d34102d44b898665644c314af3136e5c6d933ec19214224955ab36b39f01452,SeekingAlpha
2025-04-09 01:17:46,You're Unlikely To Get Alphabet Cheaper Than This,Alphabet's core services and cloud segment continue to exhibit robust growth and profitability. Read why I reiterate my Buy rating on GOOG stock.,https://finnhub.io/api/news?id=cf929346f5462b422cb5a9bb5b826e515cbce139bd10993348847e44648e8f67,SeekingAlpha
2025-04-08 21:45:15,Alphabet (GOOGL) Stock Moves -1.4%: What You Should Know,"In the closing of the recent trading day, Alphabet (GOOGL) stood at $144.70, denoting a -1.4% change from the preceding trading day.",https://finnhub.io/api/news?id=c44e48eaa40de134024cea7fbe925fdc13f6e947b9ff46accd2500342351e7f3,Yahoo
