datetime,headline,summary,url,source
2025-04-09 00:03:42,Goldman Sachs Upgrades Eli Lilly and (LLY),,https://finnhub.io/api/news?id=313b6fbf76d21bee5f00c9023c377fa988b84da7b0122b093e33ad4081a42fa0,Fintel
2025-04-08 21:45:16,Eli Lilly (LLY) Gains As Market Dips: What You Should Know,"In the closing of the recent trading day, Eli Lilly (LLY) stood at $726.14, denoting a +0.33% change from the preceding trading day.",https://finnhub.io/api/news?id=29bf30547687de37560d484e63bcc743c79dfbcbbf17704bd07226a5b1a67453,Yahoo
2025-04-08 18:41:31,Jim Cramer on Eli Lilly and Company (LLY): “You Don’t Sell Lilly” — “David Ricks Is a Visionary”,"We recently published a list of Jim Cramer Nailed These 11 Stock Picks. In this article, we are going to take a look at where Eli Lilly and Company (NYSE:LLY) stands against other stocks that Jim Cramer discusses. On Thursday, April 3rd, the host of Mad Money opened the most recent show by addressing the growing […]",https://finnhub.io/api/news?id=9ec59903ded6c374629e22fa29683e14631ea950a5370b1923c0624fb1ffcf78,Yahoo
2025-04-08 17:58:13,"Biopharma Shakeup: Goldman Boosts J&J, Eli Lilly While Flagging Risks at Pfizer and AbbVie","Goldman updates coverage across major U.S. drugmakers, citing exclusivity risks, pricing power, and pipeline outlooks",https://finnhub.io/api/news?id=bc94276900cad2ebcc0b80e6d2292450595274f18897df2b28b0da16be1a544f,Yahoo
2025-04-08 17:26:00,Pfizer Stock’s Fall to ’97 Level Lifts Yield Near 8%. Dividend Looks Safe.,Pfizer Stock’s Fall to ’97 Level Lifts Yield Near 8%. Dividend Looks Safe.,https://finnhub.io/api/news?id=64adfabfb6730ff0a56254be2bb1e46d614053776b4fb83b36ad60432326f812,MarketWatch
2025-04-08 17:17:16,"Eli Lilly shares Jump ~5% after Goldman Sachs upgraded to ""Buy""","Eli Lilly Rises on Goldman Upgrade, Orforglipron Forecast Topped Street",https://finnhub.io/api/news?id=f8480b9751f67bbe6b2832266a21aac4ff7ce12e0a80af5338c1dd08ec2d2fd7,Yahoo
2025-04-08 14:27:55,"Trump Trade: Trump claims ‘no inflation,’ Medicare won’t cover obesity drugs","Catch up on the top industries and stocks that were impacted, or were predicted to be impacted, by the comments, actions and policies of President Donald Trump with this daily recap compiled by The Fly: TRUMP SAYS NO INFLATION: President Trump said via Truth Social, “Oil prices are down, interest rates are down (the slow moving Fed should cut rates!), food prices are down, there is NO INFLATION, and the long time abused USA is bringing in Billions of Dollars a week from the abusing countries on",https://finnhub.io/api/news?id=8d5f8527f82333e94b138326f7378b3106d1ce8ddd36bf49b67203fba3ea23b1,Yahoo
2025-04-08 14:09:00,LLY vs. NVO: Which Weight-Loss Drug Stock is a Stronger Play Now?,Both LLY and NVO are leading pharmaceutical companies specializing in diabetes and obesity treatments.,https://finnhub.io/api/news?id=e46f634729581f9640473d71eea6539df0983734ef7d778c626af11d32c984c3,Yahoo
2025-04-08 14:03:18,"Walgreens, CVS, & US drugmakers make big moves: What to know","Walgreens (WBA) stock is rising after the company reported better-than-expected second quarter earnings while preparing for privatization. Yahoo Finance Senior Health Reporter Anjalee Khemlani highlights the company's cost management strategy, CVS's (CVS) leadership changes amid similar challenges in the retail drug sector, and moves by US drug makers, like Merck (MRK), Johnson & Johnson (JNJ), and Eli Lilly (LLY), as they prepare for incoming tariffs. To watch more expert insights and analysis on the latest market action, check out more Morning Brief here.",https://finnhub.io/api/news?id=4802859d758f4365de19e8df750d7be4ad395ac3a31a609b767e157d6ab882c0,Yahoo
2025-04-08 13:08:17,"Goldman turns cautious on major pharma names, sees select upside at Eli Lilly","Investing.com -- Goldman Sachs initiated coverage on several large-cap pharmaceutical companies, taking a cautious stance on Bristol-Myers Squibb (NYSE:BMY), Pfizer (NYSE:PFE), and AbbVie (NYSE:ABBV), while upgrading Eli Lilly (NYSE:LLY) to a Buy on strong growth prospects in obesity treatments.",https://finnhub.io/api/news?id=79226bcb7596285f28ccfc803c594c16b98e3dc7715b9d1f3c7d0d9b11ba1be3,Yahoo
