datetime,headline,summary,url,source
2025-04-09 12:04:40,Evercore ISI Group Initiates Coverage of Mastercard (MA) with In-Line Recommendation,,https://finnhub.io/api/news?id=f2a83676d01bb1e91a4d699431fedb3dc0e34ee437a8c24113d3a2da67a7e538,Fintel
2025-04-08 18:22:19,Is Mastercard Incorporated (MA) the Best Fundamental Stock to Buy According to Billionaires?,"We recently published a list of 10 Best Fundamental Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Mastercard Incorporated (NYSE:MA) stands against other best fundamental stocks to buy according to billionaires. As per Fitch Ratings, the US tariffs are now at levels that continue to […]",https://finnhub.io/api/news?id=eed41b6bbe732df6b5938d5d85292fe135a4eeb8eb2ad410d7ea2c3f4c88600b,Yahoo
2025-04-08 17:48:00,Mastercard & PayTabs Launch Payment Platform to Aid Egyptian SMEs,"MA partners with PayTabs to unveil a white-labeled digital payments platform to improve payment experiences for SMEs in Egypt, thereby bolstering MA's nationwide presence.",https://finnhub.io/api/news?id=2419d3d314aa260a9bebe2cbe3c995f8dc063efa4e0bd7beae220a464021147c,Yahoo
2025-04-08 16:31:00,Mastercard Inc. stock underperforms Tuesday when compared to competitors,Mastercard Inc. stock underperforms Tuesday when compared to competitors,https://finnhub.io/api/news?id=f8c9d1075c02367dc6a4245f9ed8fd98fe9a3c45b128e353f171a1c95c513d54,MarketWatch
2025-04-08 14:49:00,Will PayPal's Deepening Cryptocurrency Footprint Benefit the Stock?,PYPL is doubling down on digital assets with the addition of Chainlink and Solana to its crypto suite.,https://finnhub.io/api/news?id=773264afeaa1bd138f3d018bd8ed94342824472323af6d68da288399bf9bf63f,Yahoo
2025-04-08 13:30:00,Mastercard: Financial Freedom 101: This Bootcamp Taught Students To Take Control of Their Finances,"NORTHAMPTON, MA / ACCESS Newswire / April 8, 2025 / By Christine Gibson Mastercard Tanya Van Court was about to learn a lesson that would change her life. In 2001, after earning her master's in industrial engineering from Stanford University, Van ...",https://finnhub.io/api/news?id=344e1c32d7861fb60ca920d2289f86402d53627247c1ea9f69f7781379fa557a,Yahoo
2025-04-08 11:54:00,2 Warren Buffett Stocks to Buy in the Stock Market Sell-Off,Equity markets are struggling due to President Donald Trump's decision to impose tariffs on imported goods from every country.  What stocks does Buffett own that are worth holding onto through market volatility and beyond?  Let's consider two prime candidates: Apple (NASDAQ: AAPL) and Mastercard (NYSE: MA).,https://finnhub.io/api/news?id=f77e886e9a13f1367542facd2a621b40d2bf2e27862a58c970a2a249dd117600,Yahoo
2025-04-08 11:30:09,Mastercard partners with PayTabs to support SMEs in Egypt,PayTabs will tap Mastercard's global network and digital payment capabilities to offer a “white-labelled” payments platform.,https://finnhub.io/api/news?id=4852df180a6f1b200411e8330428e315aa01d67736d5f1230096957e275e680d,Yahoo
2025-04-07 21:50:16,MasterCard (MA) Dips More Than Broader Market: What You Should Know,"In the most recent trading session, MasterCard (MA) closed at $485.52, indicating a -0.87% shift from the previous trading day.",https://finnhub.io/api/news?id=263fcf2317ca49de3edaecde4aa361e7371de753d88f0259e25a315a8c761e74,Yahoo
2025-04-07 16:10:10,Will MasterCard (MA) Beat Estimates Again in Its Next Earnings Report?,MasterCard (MA) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://finnhub.io/api/news?id=411b9d53b0aa165969e2f8ccdcc8391e93dbadf1021cbd96cbd9fa0bb404ae71,Yahoo
2025-04-07 15:53:00,"AmEx Stock Trails S&P 500, Declines 21% YTD: Time to Buy or Cash Out?","AXP's clients typically have higher incomes and strong credit scores, which helps minimize credit risks.",https://finnhub.io/api/news?id=9d2419263607916f6ee4d7488e456e47aabe8b1134032df010756d1c09605e1f,Yahoo
2025-04-07 15:12:00,Mastercard Transforms Payments With 2030 Vision for Australia,"MA unveils a bold 2030 vision featuring biometrics, contactless cards, and real-time payments to enhance security, convenience, and growth.",https://finnhub.io/api/news?id=27c945657bfa665986ae798eb6aec2766186737b8c6fbfc391adb2f024ee6bad,Yahoo
2025-04-07 12:09:00,Thornburg International Growth Fund Q4 2024 Commentary,"In 4Q24 Thornburg International Growth Fund (I share class) returned -8.97%, -109 basis points behind the MSCI ACWI ex-U.S. Growth Index. Read more here.",https://finnhub.io/api/news?id=e354abac8565176c404f1d3380d1fa8e0d856f8c3a319794c4291765e5d45a9b,SeekingAlpha
2025-04-07 11:20:33,"Nomba, Mastercard partner to support business payments in Nigeria","The integration will support various payment methods, including international cards and QR codes in the checkout process.",https://finnhub.io/api/news?id=3f84f669c963634cacde5d74441aa1602c8e5e16ddd2d4c5596f1d08edefa158,Yahoo
2025-04-07 05:57:43,"Mastercard: With A Large Market Share And High Growth, Great Returns Are Probable",,https://finnhub.io/api/news?id=c132ef8ff8680845a527feb8384257ff66ae4432a7325bc9748d2b6e1f646786,SeekingAlpha
