datetime,headline,summary,url,source
2025-03-01 14:00:00,"Tamagotchi Enters its Biggest Year Yet, Announcing a National Tour, Spring Celebration Fan Event at American Dream, and New Products at New York Toy Fair!","Today's announcements bring fans into the world of Tamagotchi like never before, with more to come later this year NEW YORK, March 1, 2025 /PRNewswire/ - Tamagotchi, the virtual pet pioneer, is making a huge splash on day one of the 2025 New York Toy Fair ( NYTF ) , unveiling a series of ...",https://www.benzinga.com/pressreleases/25/03/n44065377/tamagotchi-enters-its-biggest-year-yet-announcing-a-national-tour-spring-celebration-fan-event-at-,Benzinga
2025-03-01 14:00:00,IT'S ALL FUN AND GAMES AT NEW YORK CITY TOY FAIR: RELATABLE UNVEILS WHAT'S NEXT FOR 2025,"Relatable ( Formerly What Do You Meme? ) sets the stage for the future of play with new launches and game-changing partnerships with Pop-Tarts, Wondery and Sam and Colby",https://www.benzinga.com/pressreleases/25/03/n44065378/its-all-fun-and-games-at-new-york-city-toy-fair-relatable-unveils-whats-next-for-2025,Benzinga
2025-03-01 13:55:29,Bitcoin price risks correction to $72K as investor sentiment weakens,"The last time investor sentiment dropped to similar levels was a month after Bitcoin fell to $17,500 in 2022.",https://cointelegraph.com/news/bitcoin-bottom-72k-crypto-investor-sentiment-3-year-low,Cointelegraph
2025-03-01 13:45:00,International Myeloma Foundation  ( IMF )  Celebrates Myeloma Milestones for 2025 Myeloma Action Month,"STUDIO CITY, Calif., March 01, 2025 ( GLOBE NEWSWIRE ) -- Myeloma Action Month is an annual global awareness campaign that takes place every March to raise awareness and inspire action for multiple myeloma-a blood cancer that affects over 176,404 people every year, around the world.",https://www.benzinga.com/pressreleases/25/03/g44065352/international-myeloma-foundation-imf-celebrates-myeloma-milestones-for-2025-myeloma-action-month,Benzinga
2025-03-01 13:11:37,BlocScale Launchpad on XRP Kicks off $BLOC Seed Sale Round After a Successful Private Sale,"LIJA, Malta, March 01, 2025 ( GLOBE NEWSWIRE ) -- BlocScale, the first-ever IDO launchpad on the XRP Ledger, has officially launched its highly anticipated $BLOC Seed Sale round following the complete sell-out of its private sale allocation.",https://www.benzinga.com/pressreleases/25/03/g44065289/blocscale-launchpad-on-xrp-kicks-off-bloc-seed-sale-round-after-a-successful-private-sale,Benzinga
2025-03-01 13:00:20,"Bulls And Bears: Joby Aviation, Nvidia, Tesla - And Bitcoin Drops Below $80,000 Bulls And Bears: Joby Aviation, Nvidia, Tesla - And Bitcoin Drops Below $80,000 - Apple  ( NASDAQ:AAPL ) ","Benzinga examined the prospects for many investors' favorite stocks over the last week - here's a look at some of our top stories. This week, global markets experienced significant volatility due to escalating trade tensions and disappointing tech earnings.",https://www.benzinga.com/25/03/44065229/benzinga-bulls-and-bears-joby-aviation-nvidia-tesla-and-bitcoin-drops-below-80000,Benzinga
2025-03-01 13:00:01,Why nursing homes and hospice are so expensive in the U.S.,Baby boomers are poised to hit an already overburdened senior care space in the next few years. Investors are looking to buy up long-term and end-of-life care operations.,https://www.cnbc.com/2025/03/01/why-nursing-homes-and-hospice-are-so-expensive-in-the-us.html,CNBC
2025-03-01 13:00:01,How a $5 million fix turned Paramount Pictures' 'Sonic' into a billion-dollar franchise,"Paramount Picture's redesign of the titular character in its ""Sonic the Hedgehog"" film has resulted in a $1.2 billion franchise five years later.",https://www.cnbc.com/2025/03/01/paramount-sonic-fix-billion-dollar-franchise.html,CNBC
2025-03-01 13:00:00,TONIES® INTRODUCES NEW FRANCHISE: LALALINOS®,"Expands Portfolio of tonies® Originals with Musical Trio PALO ALTO, Calif., March 1, 2025 /PRNewswire/ -- tonies®, the original screen-free audio entertainment system for young children, is proud to announce the introduction of Lalalinos®, the brand's newest franchise that brings children on a ...",https://www.benzinga.com/pressreleases/25/03/n44065227/tonies-introduces-new-franchise-lalalinos,Benzinga
2025-03-01 13:00:00,Blaze Pizza Expands Franchise Model with Transition of 11 California Locations to SoCal Blazers,"ATLANTA, March 01, 2025 ( GLOBE NEWSWIRE ) -- Blaze Pizza, the nation's leading fast-casual pizza franchise, today announced the transition of 11 company-owned restaurants in California to franchise partner SoCal Blazers, led by Reza Medali.",https://www.benzinga.com/pressreleases/25/03/g44065225/blaze-pizza-expands-franchise-model-with-transition-of-11-california-locations-to-socal-blazers,Benzinga
2025-03-01 13:00:00,"THE LEGO GROUP SHOWCASES ITS LARGEST PORTFOLIO YET AT TOY FAIR® 2025, LED BY NEVER-BEFORE-SEEN SETS FROM NEW BBC STUDIOS' BLUEY™ PARTNERSHIP","Booth #1335 champions the importance of play for all from March 1 - 4 NEW YORK, March 1, 2025 /PRNewswire/ -- Today, the LEGO Group unveils its largest product portfolio at Toy Fair 2025, highlighted by the first sets from the newly revealed LEGO® Bluey™ theme in partnership with BBC Studios.",https://www.benzinga.com/pressreleases/25/03/n44065228/the-lego-group-showcases-its-largest-portfolio-yet-at-toy-fair-2025-led-by-never-before-seen-sets-,Benzinga
2025-03-01 12:22:00,Aduna and Bridge Alliance partner to accelerate access to network APIs - Telefonaktiebolaget L M  ( NASDAQ:ERIC ) ,"STOCKHOLM, March 1, 2025 /PRNewswire/ -- Aduna, a landmark venture between some of the world's leading telecom operators and Ericsson, is set to partner with Bridge Alliance to accelerate the adoption of CAMARA-based network Application Programming Interfaces ( APIs ) .",https://www.benzinga.com/pressreleases/25/03/n44065181/aduna-and-bridge-alliance-partner-to-accelerate-access-to-network-apis,Benzinga
2025-03-01 12:21:41,Memecoins: From social experiment to retail 'value extraction' tools,"Memecoins are evolving into retail investor traps, with insider trading and rug pulls raising regulatory concerns, industry observers told Cointelegraph.",https://cointelegraph.com/news/memecoins-social-experiment-retail-value-extraction-tools,Cointelegraph
2025-03-01 12:00:49,"This Bill Gates 'Mistake' Cost Microsoft A $400 Billion Opportunity, According To Android Co-Founder: 'Sorry, Bill' - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ","Microsoft Corp. MSFT co-founder Bill Gates admitted to a significant oversight that, according to an Android co-founder, cost the Windows-maker a $400 billion opportunity in the mobile sector.",https://www.benzinga.com/25/03/44065138/this-bill-gates-mistake-cost-microsoft-a-400-billion-opportunity-according-to-android-co-founder-sorry-bill,Benzinga
