datetime,headline,summary,url,source
2025-04-08 22:15:23,UnitedHealth Group Incorporated (UNH): Among Defensive Stocks Billionaire Ken Fisher is Betting On,"We recently published a list of 10 Defensive Stocks Billionaire Ken Fisher is Betting On. In this article, we are going to take a look at where UnitedHealth Group Incorporated (NYSE:UNH) stands against other defensive stocks billionaire Ken Fisher is betting on. Ken Fisher, an American billionaire investor, author, and financial analyst, founded and runs Fisher Asset […]",https://finnhub.io/api/news?id=a3453cedba527d40cc9ea6e5a04054e3bca4a9b9afab07be3ec65f0f8c87a57d,Yahoo
2025-04-08 19:54:00,"The Trump Administration Is Ending Private Medicare’s Cost Crisis. Humana, CVS Stock Jump.","The Trump administration just rescued the big health insurers with a $25 billion payout.  For more than a year, the story for these companies has been that the business of privately managing Medicare plans had become a major disappointment.  U.S. seniors were seeking lots of medical care, eating away at insurers’ profits.",https://finnhub.io/api/news?id=903dac4522c407882780ce467393a61bec3cd4b586bde58782269ee2e815112d,Yahoo
2025-04-08 16:18:50,"Insurance stocks, Levi's outlook, Super Micro pops: Market Minute","Brad Smith outlines some of the top headlines investors need to know on Market Minute. Healthcare stocks like Humana (HUM), UnitedHealth (UNH), and CVS (CVS) rise after the US boosts Medicare reimbursement rates. Levi Strauss (LEVI) stock is in focus after the company maintained its full-year outlook and said it expects ""minimal impact"" from tariffs in the upcoming quarter. Super Micro Computer (SMCI) extends gains after being the top performer in the S&P 500 (^GSPC) during Monday's session. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.",https://finnhub.io/api/news?id=1c58b04806d93f259da189c08c7e2f78b88ac6bff1614aa11cb63ff274a1a635,Yahoo
2025-04-08 15:24:10,Humana and Other Health Insurance Stocks Surge on Higher-Than-Expected Medicare Payments,Shares of health insurance operators surged Tuesday after the government said it would pay a higher rate to Medicare insurers than previously estimated.,https://finnhub.io/api/news?id=3f96c67ea7d8c95a8fc084062cde85b3bbb5baf224f670afb7771ea9989f9d48,Yahoo
2025-04-08 15:18:32,"Stocks to Watch Tuesday: UnitedHealth, Marvell, CVS, Humana","↗️ Nvidia (NVDA), Intel (INTC): Chip stocks rallied midday Tuesday, with Broadcom (AVGO) getting a particular boost after it authorized a $10 billion share repurchase program. TSMC (TSM)'s American depositary receipts gained, though the stock fell in Taiwan.",https://finnhub.io/api/news?id=14a4ec86e577794193c1fc470f0b71581e1edb79f85d48820f8e3863ffcec897,Yahoo
2025-04-08 14:09:00,"Dow's 125-point rally led by gains for shares of UnitedHealth, Boeing","Dow's 125-point rally led by gains for shares of UnitedHealth, Boeing",https://finnhub.io/api/news?id=f1a9c1feb84e86c10e70245473041274a0e6fd5be8e6894bb84402274c7ed51b,MarketWatch
2025-04-08 13:08:00,"UnitedHealth, JPMorgan Chase share gains contribute to Dow's nearly 250-point climb","UnitedHealth, JPMorgan Chase share gains contribute to Dow's nearly 250-point climb",https://finnhub.io/api/news?id=a228e4d5fa0648d86dd7fb217188ed92fa72700306163a99993b69032e26a66c,MarketWatch
2025-04-08 12:07:00,"Dow's 900-point surge highlighted by gains in shares of UnitedHealth, Boeing","Dow's 900-point surge highlighted by gains in shares of UnitedHealth, Boeing",https://finnhub.io/api/news?id=572b560cb7487eb18da6d62ba71d9821efe23adcc129a95b706c456d597df415,MarketWatch
2025-04-08 10:57:00,"UnitedHealth, NVIDIA Corp. share gains lead Dow's 1,012-point surge","UnitedHealth, NVIDIA Corp. share gains lead Dow's 1,012-point surge",https://finnhub.io/api/news?id=b769a40bcfc13f38898cc39eda9251c42cf459d32b1584d4800bed2e40fc5391,MarketWatch
2025-04-08 10:51:00,UnitedHealth and Other Insurance Stocks Jump After Medicare Boosts Payment Rates,UnitedHealth and Other Insurance Stocks Jump After Medicare Boosts Payment Rates,https://finnhub.io/api/news?id=d96d23e13c2e4ab78b6912eb34cd4c9799fa3303319cf4072be5dae45f6034c0,MarketWatch
